question,answer,A,B,C,D
"Robin, Kid Flash, Speedy, Aqua Lad and Wonder Girl are found in which of these groups?",The original 5 Teen Titans,The Metal Men,The original 5 Teen Titans,The Squadron Supreme,The original 5 X-Men
Captain America was a hero of World War 2 in the 1960s. He wakes up from a frozen state on board a submarine. What group found him?,The Avengers,Squadron Supreme,The Teen Titans,Justice league of America,The Avengers
On what planet was the Silver Surfer born?,Zen La,Zen La,Thanagar,Krypton,Mars
Bruce Wayne (Batman) has a butler named Alfred. What is Alfreds nationality?,English,Scottish,Irish,Swedish,English
"In this novel by Norman Mailer, a decorated war-hero and former congressman murders his wife and descends into the underworld of Manhattan jazz clubs and Mafia intrigue.",An American Dream,An American Dream,The White negro,Naked Lunch,The Naked and the Dead
"This novel, set in Manhattan during the Wall Street boom of the late 1980s, is centered around the daily life of young investment banker Patrick Bateman.",American Psycho,City of Dreams,American Psycho,The Long Day,The Rules of Attraction
"Some famous assassinations and assassination attempts have been associated with this novel, most of which is set in New York City.",The Catcher in the Rye,A Clockwork Orange,Slaughterhouse Five,One Flew Over the Cuckoos Nest,The Catcher in the Rye
"This is Sylvia Plaths only novel, which was originally published under the pseudonym Victoria Lucas. The protagonists descent into mental illness parallels Plaths own experiences.",The Bell Jar,Dying Inside,Annie on My Mind,The Bell Jar,The Dead and the Gone
"The ttitle character of this novel, set in the roaring 1920s, is a mysterious host of regular, extravagant parties. He has become an archetype of self-made Americans seeking to join high society.",The Great Gatsby,The Age of Innoncence,The Glass Castle,The Great Gatsby,The Catcher in the Rye
"Name the author of the novels The Fountainhead and Atlas Shrugged, which are both set in New York City.",Ayn Rand,Harper Lee,Edith Wharton,Sylvia Plath,Ayn Rand
"This literary work depicts Holly Golightly, a tenant in a brownstone apartment in Manhattan, who has become an American cultural icon.",Breakfast at Tiffanys,Closing Time,Breakfast at Tiffanys,The Alienist,Motherless Brooklyn
What 1994 novel by Joseph Heller is a sequel to the popular Catch-22?,Closing Time,The Winter of Our Discontent,Something Happened,Closing Time,Fahrenheit 451
"The New York Trilogy, which consists of the novels City of Glass, Ghosts, and The Locked Room, is this authors signature work.",Paul Auster,Paul Auster,Erica Jong,Philip Roth,Adam Langer
This novel by Edith Wharton focuses on an upper-class couple whose impending marriage is threatened by the appearance of a woman plagued by scandal.,The Age of Innocence,The History of Love,Extremely Loud and Incredibly Close,Women,The Age of Innocence
What company uses the swoosh as its logo?,Nike,Audi,Lego,Nike,Nerf
The city of New York is composed of 5 boroughs.,True,False,True,,
Which of the following uncommon musical instruments does not contain strings?,cuica,cuica,kutiyapi,bordonua,gayageum
Which U.S. President declared June 14th as Flag Day?,Woodrow Wilson,Zachary Taylor,Grover Cleveland,Millard Fillmore,Woodrow Wilson
There are a total of 4 oceans in the world.,False,True,False,,
The character Nick Carraway is from which of the following novels?,The Great Gatsby,Ulysses,Angels  Demons,The Last of the Mohicans,The Great Gatsby
Which spice is from the mint family?,oregano,oregano,paprika,chive,basil
Approximately how long does it take the sun to reach the Earth?,a little over 8 minutes,just under 23 minutes,10 - 12 minutes,4.3296 minutes,a little over 8 minutes
The volcano known as Eyjafjallajokull is closest to what Icelandic City?,Reykjavic,Fjaroabyggo,Reykjavic,Hafnarfjorour,Kopavogur
He was King of the Franks from 768 and Emperor of the Romans from 800 to his death in 814. During his reign he expanded the Frankish kingdom into an empire.,Charlemagne,Pepin the Short,Francis I,Charlemagne,Louis the Pious
"He was King of the Franks and co-Emperor with his father, Charlemagne.",Louis the Pious,Pepin the Short,Louis the Pious,Lothair I,Philip I
"Known as the Sun King, his 72-year-reign is the longest in European history.",Louis XIV,Louis Napoleon Bonaparte,Louis XII,Louis XIV,Charles V
"This King was largely influenced by his chief mistress, Madame de Pompadour. His decisions weakened the French treasury and discredited the absolute monarchy.",Louis XV,Louis-Philippe,Louis XV,Jean I,Louis XIV
This Bourbon King and his Prime Minister Cardinal Richelieu are described in Alexandre Dumas novel The Three Musketeers.,Louis XIII,Henry IV,Louis XIII,Charles VIII,Philip II
"Her three sons, Francis II, Charles IX and Henry III reigned as Kings of France during the 16th century, in an age of almost constant civil and religious war.",Catherine de Medici,Marie Antoinette,Margaret of France,Catherine de Medici,Marie de Medici
"Famous for her beauty and sense of style, as well as for her scandalous behavior, she married King Henry III of Navarre who finally became King Henri IV of France.",Margaret of France,Marie Antoinette,Margaret of France,Catherine de Medici,Anne of Austria
"This Queen consort of France was noted for her political intrigues at the French court. Following the assassination of her husband King Henry IV of France, she acted as regent for her son, King Louis XIII of France, until he came of age.",Marie de Medici,Marie de Medici,Marie Antoinette,Anne of Austria,Catherine de Medici
"He established the French civil code, which forbade privileges based on birth and allowed freedom of religion. He was quoted as saying My true glory is not to have won 40 battles...Waterloo will erase the memory of so many victories. ... But...what will live forever, is my Civil Code.",Napoleon Bonaparte,Louis XV,Louis XIV,Napoleon Bonaparte,Louis XVI
He is the only King of France ever to be executed. His wife Marie Antoinette shared the same fate.,Louis XVI,Louis-Philippe I,Louis XVI,Napoleon III,Henry IV
"Following this kings execution, the monarchy was abolished and a republic called the Commonwealth of England was declared.",Charles I,Henry VIII,Charles II,Charles I,James I
Who became King of England after the monarchy was restored in 1660?,Charles II,Charles I,James II,Henry V,Charles II
"Besides his six marriages, this king is known for his role in the separation of the Church of England from the Roman Catholic Church.",Henry VIII,Edward IV,William IV,Henry VIII,Henry VII
"He was the first monarch of the House of Tudor and last king of England to win his throne on the field of battle. He defeated his opponent Richard III in the Battle of Bosworth Field, the penultimate battle of the War of the Roses.",Henry VII,Henry VII,Edward VI,Henry VIII,Richard V
This King of England is featured in three Shakespearean plays. His military successes in the Hundred Years War culminated with his famous victory at the Battle of Agincourt.,Henry V,Henry V,James I,Henry VI,Richard III
"He was King of England and disputed King of France. His bouts of insanity eventually required his wife, Margaret of Anjou, to assume control of his kingdom.",Henry VI,Edward VI,Henry VIII,George I,Henry VI
"With a reign of 326 days, he was one of the shortest-reigning monarchs in British and Commonwealth history. He caused a constitutional crisis by proposing marriage to the American socialite Wallis Simpson.",Edward VIII,William IV,Edward VIII,George VI,George V
"He became the first monarch of the House of Windsor, which he renamed from the House of Saxe-Coburg and Gotha due to anti-Germanic public feeling. he was the first British monarch to deliver a speech on the radio.",George V,Edward VII,George VI,George V,Edward VIII
"He was the first British monarch of the House of Saxe-Coburg and Gotha. During the long reign of his mother, Queen Victoria, he came to personify the fashionable, leisured elite.",Edward VII,Edward VII,George VI,William IV,George V
This king succeeded his brother Edward assuming the regnal name George VI to emphasise continuity with his father. What was George VIs birth name?,Albert,Albert,Louis,Philip,Alfred
The song Ringo was the only ever #1 song by this singer in the year 1964.,Lorne Greene,Pernell Roberts,Herb Alpert,Lorne Greene,Michael Landon
"This group was telling us, dont Rock the Boat, dont tip the boat over in the year 1974. This was the only ever #1 hit for this band.",The Hues Corporation,The Hues Corporation,Bay City Rollers,Wild Cherry,Shirley  Company
This singer was telling everybody to Rock Me Gently in the year 1974. This song was his only ever #1 hit in the United States.,Andy Kim,Robert John,Terry Jacks,Mac Davis,Andy Kim
The song Rhinestone Cowboy is considered by many as being just a terrible song from the 1970s but somehow it was a U.S. #1 for this singer in 1975.,Glen Campbell,Willie Nelson,Jerry Reed,Roy Clark,Glen Campbell
This singer had a #1 U.S hit in 1988 with the song Right Here Waiting.,Richard Marx,Steve Winwood,Richard Marx,Paul Young,George Michael
"What Mexican dish is made with ground seasoned meat, packed in cornmeal dough, wrapped in corn husks and then steamed?",Tamale,Tamale,Quesadilla,Enchilada,Taco
"Hour for Hour, which of these activities burns the most calories?",rowing,walking,rowing,playing snooker,playing tennis
The prime meridian passes through Australia.,False,True,False,,
"Before changing his name to Muhammad Ali, the legendary boxer was known as Cassius Clay.  What was Cassius middle name?",Marcellus,Ali,Marcellus,Jhamal,Muhammad
A childs body temperature is usually slightly higher than an adults.,True,False,True,,
"Before its name was changed, what was John F. Kennedy International Airport known as?",Idlewild Airport,Stewart International Airport,Albany International Airport,Idlewild Airport,Westchester County Airport
In what position is the hammer on the Soviet flag?,Tilted to the left,Tilted to the right,Upright,Upside down,Tilted to the left
What currency is used in Guatemala?,Quetzal,Quetzal,Bolivar Fuerte,Guatemalan Dollar,Peso
Phileas Fogg is the main fictional character in what famous novel?,Around the World in Eighty Days,The Sound and the Fury,Ulysses,Around the World in Eighty Days,War and Peace
Black caviar is made of sturgeon roe.  The eggs of what sturgeon are most highly valued?,beluga,sterlet,kaluga,short-nosed sturgeon,beluga
"Descended from Viking raiders, he was the first Norman King of England, reigning from 1066 until his death in 1087.",William I,William I,Henry I,Richard I,Robert I of Normandy
He was the last Anglo-Saxon King of England. He reigned until his death at the Battle of Hastings.,Harold II,William I,Harold II,Edward the Confessor,Richard the Lionheart
"What do Harold II, Richard I and Richard III have in common?",They all died in warfare.,They failed to produce heirs to the throne.,They were all illegitimately born.,They all died in warfare.,They were Anglo-Saxon kings.
"Even before his accession to the throne, this King of England was known as CÅur de Lion or The Lionheart because of his reputation as a great military leader and warrior.",Richard I,Richard III,Richard I,Richard II,Henry I
"This King of England, who is generally accused of having Edward V and his brother killed, is the subject of an eponymous play by William Shakespeare.",Richard III,Edward IV,Henry I,Richard III,William I
"He had been King of Scotland for 36 years when he became King of England and Ireland, succeeding Elizabeth I.",James I,James I,William I,Henry I,Henry V
"What was the nickname of Edward, the last king of the House of Essex, who ruled from 1042 to 1066?",The Confessor,The Great,The Lionheart,The Confessor,The Conquerer
What King of England was known as Longshaks and the Hammer of the Scots?,Edward I,Henry I,Edward I,Charles I,Richard I
"This King of England, who ruled from 1100 to 1135, was called Beauclerc for his scholarly interests. His stern rule was followed by a period of civil war, known as the Anarchy.",Henry I,William I,Henry I,Edward the Confessor,Harold II
Which of the following was not a king of England?,Robert the Bruce,Robert the Bruce,Edward VIII,George VI,William IV
This character is a bad-tempered monarch whose most famous line is Off with their heads!.,The Queen of Hearts,The Wicked Witch of the West,The Queen of Hearts,The Red Queen,Duchess
This Disney icon is clad in a short lime-green dress and green slippers with white puffs.,Tinker Bell,Tiana,Silvermist,Queen Clarion,Tinker Bell
This free-spirited character with exotic good looks was based on a historical figure. Her name means Little Mischief.,Pocahontas,Tiana,Megara,Mulan,Pocahontas
"Princess Aurora, the title character of Disneys animated film Sleeping Beauty, was modelled after this actress.",Audrey Hepburn,Katherene Hepburn,Audrey Hepburn,Ingrid Bergman,Margaret Champion
Which Disney Princess sings the song A Dream Is a Wish Your Heart Makes to encourage her animal friends to never stop dreaming?,Cinderella,Cinderella,Belle,Snow White,Aurora
Which Disney Princess is not married at the end of the original movie?,Jasmine,Snow White,Jasmine,Cinderella,Belle
"Which Disney character, voiced by Jodi Benson, falls in love with a man named Eric?",Ariel,Mulan,Rapunzel,Megara,Ariel
"In what city does Tiana, the first African American Disney Princess, live at the beginning of the movie The Princess and the Frog?",New Orleans,New Orleans,New York City,San Francisco,Boston
What Disney heroine is looked after by her overprotective mother Gothel?,Rapunzel,Rapunzel,Wendy,Aurora,Tiana
In what Disney movie do Anastasia and Drizella appear?,Cinderella,Lady and the Tramp,Beauty and the Beast,Cinderella,Sleeping Beauty
"Its often said that on men, this is bigger. But theirs make up 2 percent of their total body weight, while womens make up 2-and-half percent.",brain,brain,tongue,feet,muscle
What was the first US made car for which a rebate was offered?,Ford Model T,Buick,Ford Model T,Debaron,AMC
Ð¢his product mascot has been around since 1958 and its name is Cornelius. Name the product.,Kelloggs Corn Flakes,Honey Nut Cheerios,Apple Jacks,Kelloggs Corn Flakes,Kelloggs Smack
"When this product first appeared in the 1938 Sears Roebuck catalog, it was called a gob shirt.",Tee Shirt,Sweater,Under shirt,Tee Shirt,Long sleeve shirt
"In 2002, this animal was added to the lineup of Barnums Animal Crackers after it beat the cobra, the penguin, and the walrus in a nationwide vote.",Koala Bear,Teddy Bear,Panda Bear,Koala Bear,Grizzly Bear
"For every 100 pounds of your body weight, about 8 pounds is made up of this.",Blood,Blood,Heart,Liver,Kidney
What is the very last word in the New Testament?,Amen,End,Lord,Amen,Hallelujah
What illness is caused by the varicella zoster virus?,chickenpox,rubella,chickenpox,morbilli,None of these
DolmabahÃ§e Palace is located in the Asian part of Istanbul.,False,False,True,,
DolmabahÃ§e palace served as the main administrative center of the Ottoman Empire until 1856.,False,True,False,,
Who ordered the construction of DolmabahÃ§e Palace?,AbdÃ¼lmecid I,Garabet Balyan,NigoÄayos Balyan,HacÄ± Said AÄa,AbdÃ¼lmecid I
DolmabahÃ§e means royal garden.,False,True,False,,
DolmabahÃ§e Palace has elements from what architectural style?,All of these,All of these,Rococo style,Baroque style,Neoclassical style
"Mustafa Kemal AtatÃ¼rk, the founder and first President of the Republic of Turkey, lived in DolmabahÃ§e Palace.",True,False,True,,
What is the shape of the famous Crystal Staircase in DolmabahÃ§e Palace?,horseshoe,anchor,triangle,horseshoe,heart
"The enormous Bohemian crystal chandelier, which is in the center hall of DolmabahÃ§e Palace, was a gift from Queen Elizabeth I of England.",False,False,True,,
DolmabahÃ§e Palace was home to six Sultans.,True,False,True,,
DolmabahÃ§e Palace contains over 250 rooms.,True,False,True,,
What year was singer Chris Brown born?,1989,1989,1985,1991,1981
What is Chris Browns middle name?,Maurice,Travis,Maurice,Denis,Malcolm
Chris Browns mother recognized his vocal talent while he was mimicking a Bobby Brown performance.,False,False,True,,
Which of these singers has Chris Brown cited as an inspiration?,Michael Jackson,John Lennon,None of these,Michael Jackson,Elvis Presley
Which of these producers has Chris Brown worked with?,All of these,Scott Storch,Cool  Dre,Jazze Pha,All of these
Has Chris Brown win the Grammy Award for Best RB Album?,Yes,Yes,No,,
What Christmas decoration was giving the Cunningham family a pain in the neck in an episode of the first season of Happy Days?,Santa Claus,A snowman,Santa Claus,An insane reindeer,Christmas tree lights
Did Fonzie ever marry a stripper on the TV show Happy Days?,No,Yes,No,,
"On the TV show Happy Days, Fonzie safes the gang from a robber using which of the following?",a can opener and a pizza,a motorcycle and helmet,a can opener and a pizza,a fork and a knife,his thumb and fist
"In the TV series Happy Days, Richie kissed Fonzies girlfriend.",True,True,False,,
Who was Joanies first love interest on the TV sitcom Happy Days?,Potsie,Ralph,Spike,Chachi,Potsie
"Michael Landon made a cameo appearance on Happy Days, in an episode which took place in Hollywood.",False,False,True,,
What was Mrs Cs mothers name on the sitcom Happy Days?,Mother Kelp,Mother Carol,Mother Fran,Mother Kelp,Mother Fish
"In the movie Donovans Reef, John Waynes character gave a house to his old shipmate as a wedding present.",False,True,False,,
Who played Long Hair in the John Wayne movie The Cowboys?,Bruce Dern,Roscoe Lee Browne,Bruce Dern,John Wayne,Robert Carradine
"In what movie does John Wayne co-star with Stuart Whitman, Lee Marvin, and his son Patrick Wayne?",The Comancheros,Rio Bravo,The Comancheros,Rio Lobo,The Man Who Shot Liberty Valance
John Wayne played Quirt Evans in The Comancheros.,False,True,False,,
"In Angel and the Badman, the family that helped John Wayne when he was wounded belonged to what religion?",Quaker,Jewish,Catholic,Protestant,Quaker
How many boys did John Waynes character hire in the movie The Cowboys?,11,13,11,15,9
What is a juvenile dog called?,puppy,calf,puppy,cub,kitten
What is a young goose called?,gosling,gosling,chick,joey,piglet
Baby ducks are called chicks.,False,True,False,,
What is a wolf baby called?,pup,cub,billy,pup,nanny
A baby goat is called a kid.,True,True,False,,
A baby seal is called a foal.,False,True,False,,
A baby kangaroo is called a joey.,True,False,True,,
"The Fangtooth, also known as Quisimodo of the Depths, is found in the tropical waters of the Pacific and Atlantic Ocean.",True,True,False,,
The giant freshwater stingray can weight more than half a ton.,True,True,False,,
The stonefish is poisonous.,True,False,True,,
Which statement is true about the snakeheads?,All of these,They are considered valuable food fish.,They are predatory fish.,All of these,They have a long dorsal fin.
"The giant freshwater catfish, which inhabits the Mekong River in Southeast Asia, is a huge toothless predatory fish.",False,True,False,,
The piraiba catfish is the largest catfish in this river.,the Amazon,the Amazon,the Danube,None of these,the Nile
The Alligator Gar is the largest exclusively freshwater fish found in North America.,True,True,False,,
What author wrote about the candiru in his 1959 novel Naked Lunch?,William S. Burroughs,Ray Bradburry,William S. Burroughs,Kurt Vonnegut,Henry Miller
Female anglerfish have a fleshy growth on their heads which acts as a lure.,True,True,False,,
"This fish, which was introduced to Lake Victoria in East Africa in the 1950s, caused the extinction or near-extinction of several hundred native species.",Nile perch,Nile perch,None of these,Mekong catfish,Candiru
What flowers are growing in the field where Dorothy falls asleep in The Wizard of Oz?,poppies,poppies,roses,sunflowers,orchids
What famous actress portrays the young flower seller Eliza Doolittle in the 1964 Academy Award-winning movie My Fair Lady?,Audrey Hepburn,Bette Midler,Ava Gardner,Audrey Hepburn,Katherine Hepburn
"In the movie Broken Flowers, Bill Murrays character stops at a florist to buy flowers for one of his many ex-girlfriends. What else does the florist do for him?",bandages his cut,gives him a book,invites him to dinner,bandages his cut,offers to drive him home
"In what country is CarrÃ© Otiss character, Emily, when she awakens in her room and finds a bouquet of wild orchids?",Brazil,Argentina,Brazil,Equador,USA
In which of these movies are rose petals a recurring motif?,American Beauty,Pretty Woman,American Beauty,To Catch a Thief,Atonement
âWhere do you want me to put the third rose?â is a memorable quote from 2007 fantasy drama film Youth Without Youth. Name its director.,Francis Ford Coppola,George Clooney,Sam Mendes,Martin Scorsese,Francis Ford Coppola
"In the movie Steel Magnolias, this actress plays a character who suffers from diabetes.",Julia Roberts,Dolly Parton,Daryl Hannah,Julia Roberts,Shirley MacLaine
"What 1946 film noir, written by Raymond Chandler, tells the story of a returning war veteran and his faithless wife?",The Blue Dahlia,The Blue Dahlia,Lilies of the Field,Steel Magnolia,Youth Without Youth
Who won the 1963 Academy Award for Best Actor for his performance in the movie Lilies of the Field?,Sidney Poitier,Gregory Peck,Sidney Poitier,Cary Grant,Henry Fonda
"In a scene from this 2007 movie, Keira Knightleys character is carrying freshly picked flowers and is wearing a floral-print blouse.",Atonement,Love Actually,King Arthur,Atonement,A Dangerous Method
What is Jean Dujardins only audible line in the 2011 silent movie The Artist?,With pleasure.,Cut! Perfect.,Whos That Girl?,Why not?,With pleasure.
Which of these Academy Awards did the French movie The Artist NOT receive?,Best Actress,Best Director,Best Original Score,Best Picture,Best Actress
The 2011 British biopic The Iron Lady brought Meryl Streep her second Best Actress Academy Award. For what movie did she receive her first Best Actress Academy Award?,Sophies Choice,The Devil Wears Prada,The Bridges of Madison County,The Deer Hunter,Sophies Choice
Which of these 2011 movie with multiple Academy Award nominations is NOT correctly matched with its director?,Hugo - David Fincher,War Horse - Steven Spielberg,Moneyball - Bennett Miller,Hugo - David Fincher,The Descendants - Alexander Payne
In what capital city does 12-year-old Hugo Cabret live in the Academy Award-winning movie Hugo?,Paris,"Washington, D.C.",Paris,London,Rome
"In Woody Allens movie Midnight in Paris, Owen Wilsons character is transported to the 1920s, an era he idolizes. Which of the following famous authors does he not encounter?",Ernest Hemingway,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck,Gertrude Stein
"The movie The Descendants closes with George Clooneys character and his two daughters curled up on the living room couch, eating ice cream, and watching this documentary.",March of the Penguins,9/11,Birth of the Earth,Strangers No More,March of the Penguins
"What kind of animal is Rango, the protagonist of the self-titled Oscar-winning movie of the same name?",chameleon,turtle,spider,snake,chameleon
"What actor, who was awarded an Oscar for his performance in the movie Beginners, became the oldest actor ever to win an Academy Award?",Christopher Plummer,Nick Nolte,Clint Eastwood,Max von Sydow,Christopher Plummer
What actress won the Academy Award for Best Supporting Actress for her role as the outspoken maid in the 2011 film The Help?,Octavia Spencer,Emma Stone,Octavia Spencer,Jessica Chastain,Viola Davis
The Red Vineyard was the only painting which this famous red-haired artist sold during his lifetime.,Vincent van Gogh,Amedeo Modigliani,Pierre-Auguste Renoir,Vincent van Gogh,Claude Monet
"This Baroque composer, nicknamed The Red Priest, is best known for a series of violin concertos titled The Four Seasons.",Antonio Vivaldi,Giacomo Puccini,Vincenzo Bellini,Antonio Vivaldi,Giuseppe Verdi
"This influential Irish author is honored on Bloomsday, the day on which his novel Ulysses is set.",James Joyce,James Joyce,Jonathan Swift,Oscar Wilde,Bram Stoker
This prolific American poet from Massachusetts lived in seclusion and finally later in life refused to even leave her home.,Emily Dickinson,Sylvia Plath,Emily Dickinson,Louisa May Alcott,Amy Lowell
"In his novel A Connecticut Yankee in King Arthurs Court, this famous red haired author wrote, When red headed people are above a certain social grade, their hair is auburn.",Mark Twain,Mark Twain,Theodor Dreiser,Washington Irving,William Faulkner
"What redhead actress, known for her headstrong independence, received four Academy Awards for Best Actress?",Katharine Hepburn,Debbie Reynolds,Katharine Hepburn,Bette Midler,Geena Davis
"This redhead playwright became the first person in history to be awarded both a Nobel Prize and an Oscar, for his contributions to literature and for his work on the film Pygmalion.",George Bernard Shaw,Samuel Beckett,Harold Pinter,George Bernard Shaw,Eugene ONeill
"Name the redhead author of It Can Happen Here, who became the first American to win the Nobel Prize for Literature.",Sinclair Lewis,Ernest Hemingway,Sinclair Lewis,William Faulkner,Willa Carter
According to his self-portrait this leading painter of the Venetian School was a redhead. He painted so many women with red hair that his name became associated with a shade of red.,Titian,Velasques,Titian,Donatello,Raphael
What country singer/songwriter recorded an album titled Red Headed Stranger?,Willie Nelson,Kris Kristofferson,Garth Brooks,Kenny Rogers,Willie Nelson
What is the meaning of the Greek word thÃ©atron from which the word theatre is derived?,a place for viewing,a place for acting,a spectacle,a place for viewing,a stage
Theatre was thriving in ancient Rome.,True,False,True,,
What Roman philosopher and dramatist was tutor and later advisor to emperor Nero?,Seneca,Seneca,Plautus,Statius,Terence
Samuel Beckett and Harold Pinter are typically associated with what style of theatre?,Theatre of the Absurd,Theatre of the Absurd,Burlesque,Melodrama,Musical Theatre
A farce is a comedy aimed at entertaining the audience by means of extravagant and improbable situations.,True,True,False,,
Christopher Marlowe was a representative of English Renaissance theatre.,True,True,False,,
Noh is a form of Chinese theatre.,False,True,False,,
Theatres in England were closed in 1642.,True,True,False,,
Marionettes appeared in Europe during the Middle Ages.,False,False,True,,
Henrik Ibsen was a major Norwegian playwright and poet.,True,False,True,,
In what year did the Hudson Motor Company start producing cars?,1909,1912,1910,1908,1909
What was the original plan of the Hudson Motor Car Company founders?,"To produce an automobile which would sell for less than $1,000",To sell more cars than Henry Ford,"To produce an automobile which would sell for less than $1,000",To build airplanes,To produce race cars
Who put up the money to start the Hudson Motor Car Company?,Joseph L. Hudson,Henry Ford,Ransom E. Olds,Roy D. Chapin Sr.,Joseph L. Hudson
The Hudson Motor Car Company was the first company in the auto industry to use which of the following?,all of these,dual brakes systems,all of these,the first balanced crankshaft,dashboard oil-pressure and generator warning lights
"As opposed to the more up-scale Hudson line, Hudson introduced the Essex brand line of automobiles in what year?",1919,1919,1927,1913,1932
"In 1939, the Hudson Motor Company hired Betty Thatcher Oros as the first female American automotive designer.",True,True,False,,
What innovation did the Hudson Motor Car Company introduce in 1948 that almost all manufacturers would adopt in their vehicles?,Step down body,Seat belts,Step down body,Suicide doors,Air bags
The Hudson Hornet dominated the NASCAR circuit for 5 straight years in the 1950s.,False,True,False,,
Where were Hudsons manufactured?,Detroit/Kenosha,Kenosha Only,Detroit Only,Detroit/Kenosha,Chicago Only
"On January 14, 1954, Hudson merged with what other car manufacturer?",Nash,Oldsmobile,Chrysler,Nash,Packard
"After the Hudson Motor Car Company merged with another company, the new company was known as which of the following?",AMC,CBS,AMC,GMC,HNAC
"The last Hudson dealership was in New York, NY.",False,True,False,,
"This designer, known for his provocative fashion shows, committed suicide in 2010. The Metropolitan Museum of Art in New York City hosted a posthumous exhibition, titled Savage Beauty, which featured the most iconic designs of his prolific career.",Alexander McQueen,Alexander McQueen,Marc Jacobs,Oscar de la Renta,Isabella Blow.
"On 25 February 2011, Dior suspended this designer following his arrest over an alleged anti-Semitic tirade.",John Galliano,John Galliano,Tommy Hilfiger,Marc Jacobs,Tom Ford
"What eccentric fashion designer attacked former British Prime Minister Tony Blair stating, He just goes on causing damage. If he had never been born, thousands of people would still be alive. I think he is a monster.?",Vivienne Westwood,Vivienne Westwood,John Galliano,Marc Jacobs,Stella McCartney
Most of this designers collections make references to the fashion of past decades of the 20th century. Oscar de la Renta has accused him of being a mere copyist.,Marc Jacobs,Marc Jacobs,Paul Smith,Ralph Lauren,Calvin Klein
"He is a fashion designer and film director. His name has been synonymous with controversy since his days at Gucci, but with the release of the provocative images for his Men fragrance, he pushed sexual boundaries like never before.",Tom Ford,Tom Ford,Calvin Klein,Emilio Pucci,Nicola Trussardi
"In 1999, this fashion designer was the subject of controversy due to ads featuring young children who were only wearing his brands underwear.",Calvin Klein,Alexander McQueen,Tom Ford,Calvin Klein,Paul Smith
This prominent fashion designer introduced man-skirts and designed sculptured costumes for Madonna.,Jean Paul Gaultier,Louis Vuitton,Christian Lacroix,John Galliano,Jean Paul Gaultier
"In 1993, he employed strippers and adult film star Moana Pozzi to model his black-and-white collection for Fendi during the Milan Fashion Week. This caused US Vogue editor-in-chief Anna Wintour to walk out of his show.",Karl Legerfeld,Jean Paul Gaultier,Karl Legerfeld,Ives Saint Laurent,John Galliano
This influential couturier introduced the tuxedo suit for women and was the first designer to use ethnic models in his runway shows.,Yves Saint Laurent,Christian Lacroix,Yves Saint Laurent,Christan Dior,Coco Chanel
Which statement regarding famous fashion designer Coco Chanel is NOT true?,She associated suntan with hard outdoor labor.,She associated suntan with hard outdoor labor.,He real name was Gabrielle Bonheur Chanel.,She was a Nazi spy.,The Chanel suit was made of jersey.
What is the worlds smallest winged insect?,Tanzanian parasitic wasp,Psocids,Stylopids,Tanzanian parasitic wasp,termite
There is no muscle in the human body that is attached at one end only.,False,False,True,,
The shrimps heart is in its stomach.,False,False,True,,
Almonds and what other fruits belong to the Rosacae (rose) family?,all of these,all of these,apples,apricots,peaches
A person cannot taste food unless it is mixed with saliva.,True,True,False,,
Donald Duck appears in an Academy Award-winning film.,True,False,True,,
Which food requires more energy to be digested than it provides?,all of these,celery,all of these,cabbage,lettuce
The first written version of the Don Juan legend was penned by MoliÃ¨re.,False,False,True,,
What did Walter Diemer invent?,the rubber band,bubblegum,the rubber band,headphones,the ball pens
"Sara Lee Creech moved to Belle Glades, Florida in the 1940s.  She and others in town formed a local organization for improvement in racial relations in a very segregated world. What was her occupation in Belle Glades?",She owned a florist shop.,She was the mayor of the town.,She owned a florist shop.,She ran a small luncheonette.,She was a maid.
"Ms. Sara Lee Creech met Edna Fuller, who had organized Floridas first Inter-racial Council in Orlando. After hearing Ms. Fullers speech in Orlando, the Belle Glades local organization decided to form Floridas second Inter-national Council. Which of these were not part of their missions?",To fight for integration of schools,To persuade Palm Beach County School Board to build an elementary school for the black community,To fight for integration of schools,To start a day care center for farm workers children.,To gain trust with the black and white community for the Council by having 15 white members and 15 black members in the council with equal votes
"Eight months after the first meeting of the Inter-racial Council, Ms. Sara Lee Creech had an epiphany. She was walking out of the Post Office and saw two little African-American girls playing with dolls in the backseat of a car. What disturbed her about that situation?",The children were playing with white dolls.,The children were left alone in the car.,The children were dressed in rags.,The car was purple.,The children were playing with white dolls.
"At the second meeting of the Inter-racial Council, Ms. Sara Lee Creech asked some of the black parents why they would want their children to play with white dolls. What was the parents answer?",All of these,The only black baby dolls were white dolls that had defects and were taken off the production line and painted black.,There were no acceptable black dolls available.,The only black dolls in the stores were racial parodies of slave women and children.,All of these
"Ms. Sara Lee Creech got in touch with the sculptress, Sheila Burlingame, who had sculpted the figurine Negro Boy Praying for the St. Louis Headquaters of the Urban League. Ms. Burlingame was very enthusiastic about creating a black doll and was ready to start. What did she ask for to help her sculpt the dolls so they would be anthropologically accurate?",photos of black children and the head measurements of different aged children,hair samples and facial photos of the children,5 boys and 5 girls to model for her,photos of black children and the head measurements of different aged children,money to come to Belle Glades to work with the children there
