question,answer,A,B,C,D
"In late 2005, Rachael signed a deal with King World Productions and this TV personality to host a syndicated day time talk show.",Oprah Winfrey,Martha Stewart,Oprah Winfrey,Dr. Phil,Maury Provich
"Rachael Ray has appeared on the popular childrens program, Sesame Street.",True,False,True,,
Rachael Ray posed  for a mens magazine in 2003.,True,True,False,,
Sammy Davis Jr. was performing professionally by the age of four.,True,False,True,,
Sammy Davis Jr. and Sammy Davis Sr. were part of a dance trio. Who was the third party?,Will Mastin,Will Mastin,Charles Honi Coles,John Bubbles,Stepin Fetchit
"Sammy Davis Jr. made his stage debut at an early age. There were laws against someone Sammys age working professionally, (plus he should have been in school), so to get around this, he was billed as which of the following?",Silent Sam - The Dancing Midget,Little Sam - The Tap Dance Man,Silent Sam - The Dancing Midget,Big Sam - The Little Man,Small Sammy - The Singing Dwarf
Is it true that Will Mastin was Sammy Davis Jr.s uncle?,No,Yes,No,,
Sammy Davis Jr. played the trumpet and the drums along with everything else he did on stage. He learned to play these instruments from his dad and Will Mastin.,False,False,True,,
"Sammy Davis Jr. was too young to enlist when WWII broke out, but he was drafted later. What going away gift did he receive his from dad and Will ?",a gold watch,a gold star of David,a new pair of tap shoes,a gold watch,a new suit
"Because Sammy Davis Jr.s education didnt qualify him for any of the armys special schools, they just kept sending him back to basic training over and over.",True,True,False,,
"Sammy Davis Jr. starred on Broadway more than once, but which of these was his first show there?",Mr. Wonderful,Mr. Wonderful,Golden Boy,Bye Bye Birdie,Stop the World - I want to Get off
In 1958 Sammy Davis Jr. made this film about a woman of ill-repute.,Anna Lucasta,Anna Lucasta,Porgy and Bess,Carmen Jones,Of Love and Desire
What multi-talented performer urged Sammy Davis Jr. to include comedy and impressions into the groups act?,Mickey Rooney,Mickey Rooney,Jerry Lewis,Frank Sinatra,Humphrey Bogart
"After years of hard work, The Will Mastin Trio - Featuring Sammy Davis Jr., officially made it big. At what famous nightclub did this momentous event occur?",Ciros,The Trocadero,Ciros,The Coconut Grove,Mocambos
How many times was Sammy Davis Jr. married?,3,5,2,6,3
In which movie did Robert De Niro portray mafioso Paul Vitti?,Analyze This,Righteous Kill,Casino,Jacknife,Analyze This
In what popular animated movie did Robert De Niro voice a fish character named Don Lino?,Shark Tale,Finding Nemo,Shark Tale,The Little Mermaid,None of these
"This famous actress and singer starred opposite Robert De Niro in the 1977 musical movie New York, New York.",Liza Minnelli,Cher,Barbra Streisand,Liza Minnelli,Vanessa Williams
Name the movie in which Robert De Niro portrays mercenary and slaver Rodrigo Mendoza.,The Mission,Brazil,The Mission,Godsend,Backdraft
Finish these lyrics from the song Grand Theft Autumn/Where Is Your Boy  by Fall Out Boy:,Town,School,Cheese,Person,Town
"Finish the last line of Fall Out Boys song Dance, Dance:",If they knew how misery loved me,If they knew how misery hated me,If they knew how misery loved me,If they knew how misery liked me,If they knew how misery wanted  me
"Fill in the missing words from the single A Little Less Sixteen Candles, a Little More Touch Me, released by Fall Out Boy:",hey kid youll never live this down,hey kid will you ever live this down,hey kid can you live this down,hey kid youll never live this down,would you live this down
My Heart Will Always Be the B-Side to My Tongue is an acoustic EP released by Fall Out Boy in 2004.,True,False,True,,
In how many movies did Sean Connery portray the legendary agent James Bond between 1962 and 1983?,Seven,Five,Seven,Nine,Eleven
What kind of creature did Sean Connery voice in the 1996 fantasy movie Dragonheart?,Dragon,Ghost,Dragon,Magician,Horse
Which character did Sean Connery portray in the 1986 fantasy movie Highlander?,Juan Sanchez Villa-Lobos Ramirez,Dugal MacLeod,Juan Sanchez Villa-Lobos Ramirez,Sunda Kastagir,Connor MacLeod
Name the movie for which Sean Connery received his first Academy Award.,The Untouchables,The Hunt for Red October,Indiana Jones and the Last Crusade,The Name of the Rose,The Untouchables
Sean Connery starred opposite this actor in the 1993 movie Rising Sun.,Wesley Snipes,Wesley Snipes,Denzel Washington,Will Smith,Morgan Freeman
"Sean Connery portrayed Colonel Arbuthnott in this 1974 mystery movie, based on a novel by Agatha Christie.",Murder on the Orient Express,Death on the Nile,Evil Under the Sun,Murder on the Orient Express,Ten Little Indians
Which of these actors did not star opposite Sean Connery in the 1989 movie Family Business?,Robert De Niro,Dustin Hoffman,Matthew Broderick,Robert De Niro,All of these
"What is the first movie directed by Sylvester Stallone, in which he also starred as Cosmo Carboni?",Paradise Alley,Escape to Victory,F.I.S.T.,Paradise Alley,Nighthawks
"What actor was originally considered for the role of John Rambo in the 1982 movie First Blood, which was eventually given to Sylvester Stallone?",All of these,Dustin Hoffman,Al Pacino,Clint Eastwood,All of these
"Why were detectives Tango and Cash, portrayed by Sylvester Stallone and Kurt Russell, imprisoned in the 1989 movie Tango  Cash?",They were framed for murder.,They were framed for murder.,They refused to obey an order.,They were drug smugglers.,None of these
"In what U.S. city is there a statue of fictional boxer Rocky Balboa, portrayed by Sylvester Stallone in the Rocky movies?",Philadelphia,Chicago,New York City,Philadelphia,Phoenix
In what sport does Sylvester Stallones character Lincoln Hawk compete in the 1987 movie Over the Top?,Arm wrestling,Chess,Arm wrestling,Car racing,Boxing
"Sylvester Stallone has stated this was the worst movie he ever made, yet it became quite popular.",Stop! Or My Mom Will Shoot,All of these,Cobra,Stop! Or My Mom Will Shoot,Oscar
In which 1994 action movie did Sylvester Stallone star alongside Sharon Stone?,The Specialist,Get Carter,Demolition Man,Rocky Balboa,The Specialist
In what animated movie did Sylvester Stallone voice a character named Weaver?,Antz,Antz,Fly,Bee Movie,Grasshoppers
In what action movie does Sylvester Stallone rival Antonio Banderas in performing a dangerous task?,Assassins,Demolition Man,Assassins,The Specialist,Get Carter
In what 1997 movie did Sylvester Stallone star opposite Robert De Niro?,Cop Land,Judge Dredd,Cop Land,Assassins,Cliffhanger
Which Arquette sibling is the oldest?,Rosanna,Rosanna,Richmond,David,Patricia
Richmond Arquette had a part in the movie Seven.,True,False,True,,
What member of the Arquette family was married to Nicholas Cage?,Patricia,Rosanna,Alexis,Rosanna and Patricia,Patricia
Richmond Arquette married Courtney Cox in 1999.,False,False,True,,
This Arquette showed up on The Surreal Life in 2005.,Alexis,David,Alexis,Rosanna,Richmond
In 1987 this Arquette starred in A Nightmare on Elm Street 3: Dream Warriors.,Patricia,David,Patricia,Rosanna,Alexis
Alexis and Patricia Arquette co-starred in a movie called Last Exit to Brooklyn.,False,True,False,,
All of the Arquette siblings were born in a commune in Virginia.,False,True,False,,
This Arquette stars in the television series Medium.,Patricia,Patricia,David,Alexis,Rosanna
Rosanna Arquette starred in the 2004 film Crash with Terrence Howard.,False,True,False,,
"Actors David, Rosanna, Alexis, Richmond and Patricia Arquette are descendants of American explorer Meriwether Lewis.",True,False,True,,
All zodiac signs have an opposite (called a polarity). Taurus is ruled by Venus and its opposite sign is ruled by Pluto. What zodiac sign is Tauruss polarity?,Scorpio,Leo,Cancer,Gemini,Scorpio
"Born April 24, 1942 this singer is the first one to have Billboard #1s in 4 decades: 60s, 70s, 80s and 90s.  Shes had many hits including: The Way We Were (1974), Woman in Love (1980) and I Finally Found Someone (1996).",Barbara Streisand,Carole King,Helen Reddy,Cher,Barbara Streisand
Which element is Taurus associated with?,Earth,Earth,Air,Water,Fire
The world of foreign nobility is no stranger to the zodiac sign of Taurus. Many of the following figures were born in April or May. Which of these royalties are correctly matched with their country?,Queen Elizabeth  II - Britain; Catherine the Great - Russia; Hirhito - Japan,Queen Elizabeth  II - Britain; Catherine the Great - Russia; Hirhito - Japan,Queen Elizabeth - Britain; Catherine the Great - Russia; Louis VIII - Portugal,Queen Elizabeth - Britain; Peter The Great - Yugoslavia; Catherine de Medici - France,Henry VIII - Britain; Catherine the Great - Russia; Catherine de Medici - Spain
"Match the following 3 signature movies with the famous Taureans who acted in them: The Shining, Its A Wonderful Life and Reservoir Dogs.",Jack Nicholson-James Stewart-Harvey Keitel,Jack Nicholson-James Stewart-Harvey Keitel,Gary Cooper-Lee Majors-Robert Montgomery,Lee Majors-Harvey Keitel-James Stewart,Stewart Granger-Lionel Barrymore-Tim Roth
Which part of the body does Taurus mostly govern?,throat,stomach,throat,legs,heart
"These three people were all born on May 12th. One of them was a notable humanitarian born in 1820 and part of the Royal Red Cross, the other one was a famous actress born in 1907 who won an Oscar for a role in On Golden Pond and the third one was a famous comedian born in 1937 who had 5 Emmy nominations.",Florence Nightingale-Katerine Hepburn-George Carlin,Florence Nightingale-Candice Bergan-Tim Conway,Henry Dunant-Jane Fonda-Chevy Chase,Florence Nightingale-Katerine Hepburn-George Carlin,Karl Marx-Candice Bergen-Mort Sahl
"RenÃ©e Zellweger was born in Kathy, Texas under this star sign.",Taurus,Taurus,Gemini,Aries,Cancer
In 1991 RenÃ©e Zellweger graduated from the University of Texas at Austin. What was her major?,English Language,German Language,Theater - Acting,Art,English Language
"Although RenÃ©e Zellweger had appeared in more than a dozen films before that, it was the 1996 sports movie âJerry Maguireâ which made her famous. What award did Zellweger win for it?",Broadcast Film Critics Association for Breakthrough Artist,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,all of these,Satellite Award for Best Supporting Actress,Broadcast Film Critics Association for Breakthrough Artist
In 2001 RenÃ©e Zellweger starred alongside Hugh Grant and Colin Firth in the British comedy âBridget Jonesâs Diaryâ. What did the actress do to make the Bridget Jones character more believable?,She gained 20 pounds.,She stopped smoking for 6 months.,She gained 20 pounds.,She took singing lessons for 10 months.,She shaved her head.
Who did RenÃ©e Zellweger marry in 2005 only to annul the marriage seven months later?,Kenny Chesney,George Clooney,Jim Carrey,Jack White,Kenny Chesney
"Prior to her winning the Academy Award for Best Supporting Actress in 2003, how many nominations did RenÃ©e Zellweger have in the category of Best Actress?",two,one,two,none,three
"In which of her movies did RenÃ©e Zellwegers character develop an obsession for her favorite soap actor, played by Greg Kinnear?",Nurse Betty,Cinderella Man,Nurse Betty,Bridget Jones: The Edge of Reason,"Me, Myself  Irene"
For which Academy Award for Best Picture winner did RenÃ©e Zellweger take dancing lessons for 10 months?,Chicago,Shakespeare in Love,Moulin Rouge!,Chicago,Jerry Maguire
Name the film in which RenÃ©e Zellweger was the voice of Vanessa Bloom.,Bee Movie,Bee Movie,Shrek,Shark Tale,Finding Nemo
For which of these movies did RenÃ©e Zellweger win an Oscar for Best Supporting Actress?,Cold Mountain,Bridget Jonesâs Diary,Cold Mountain,Chicago,Moulin Rouge!
Marilyn Monroes first movie appearance was in this 1947 musical comedy movie.,The Shocking Miss Pilgrim,The Shocking Miss Pilgrim,You Were Meant for Me,Scudda Hoo! Scudda Hay!,Dangerous Years
Marilyn Monroe starred opposite this celebrated Hollywood actress in the 1952 romantic comedy movie Were Not Married!.,Ginger Rogers,Katharine Hepburn,Ginger Rogers,Greta Garbo,Judy Garland
Marilyn Monroe won a Golden Globe for Best Actress in Musical or Comedy for her portrayal of a character named Sugar in this1959 movie.,Some Like It Hot,Some Like It Hot,None of these,Monkey Business,The Prince and the Showgirl
In what 1953 movie does Marilyn Monroe perform the song Diamonds are a Girls Best Friend?,Gentlemen Prefer Blondes,How to Marry a Millionaire,Theres No Business Like Show Business,Some Like It Hot,Gentlemen Prefer Blondes
What 1950 movie featuring Marilyn Monroe set a long-running record by receiving fourteen Academy Award nominations?,All About Eve,Lets Make It Legal,Theres No Business Like Show Business,Some Like It Hot,All About Eve
"What does the chimpanzee Esther accidentally create in the 1952 comedy movie Monkey Business, starring Marilyn Monroe?",Youth potion,Love potion,Youth potion,Beauty potion,Growth potion
Why did Laurence Olivier reportedly decide to quit directing movies after he worked with Marilyn Monroe in the movie The Prince and the Showgirl?,Because he was annoyed by Marilyns behavior,Because he fell in love with Marilyn but she rejected him,All of these,Because he was annoyed by Marilyns behavior,Because Marilyn assured him he was not talented enough as a director
In what 1953 romantic comedy movie did Marilyn Monroe star as golddigger Pola Debevoise?,How to Marry a Millionaire,How to Marry a Millionaire,The Seven Year Itch,The Prince and the Showgirl,Gentlemen Prefer Blondes
What 1955 movie starring Marilyn Monroe featured the unforgettable scene with her white dress blown up by the wind?,The Seven Year Itch,Some Like It Hot,The Seven Year Itch,Theres No Business Like Show Business,Gentlemen Prefer Blondes
"This was the last movie that Marilyn Monroe started filming, but it remained unfinished because of her sudden death.",Somethings Got to Give,Somethings Got to Give,Green Grass of Wyoming,The Misfits,Lets Make Love
"In 1990, Charles Lane was rushed to the hospital with chest pains and when the doctor asked him if he was a smoker, he replied, No, I quit the habit 45 minutes ago.",True,False,True,,
"In 1965, Charles Lane played Uncle Abner in this program.",Get Smart,Petticoat Junction,Beverly Hillbillies,Get Smart,The Doris Day Show
What is Ozzy Osbournes real name?,John Osbourne,Ozzy Osbourne,John Osbourne,Jack Russel Osbourne,Marion Osbourne
Which of these is one of Black Sabbaths former names?,Earth,Elf,Solitude,Earth,Dark Church
Where did Black Sabbath take their name from?,a Boris Karloff film,a church in their native town,a book by Tony Iommis  father,a Boris Karloff film,graffiti on a tombstone
What Black Sabbath members right hand was damaged as a result of an industrial accident?,Tony Iommi,Tony Iommi,Geezer Butler,Ozzy Osbourne,Bill Ward
In what city was Black Sabbath formed?,Birmingham,Amsterdam,Birmingham,Oslo,London
"In 1968, Toni Iommi briefly left Black Sabbath to play in this band.",Jethro Tull,Jethro Tull,Deep Purple,Led Zeppelin,Rolling Stones
Which of these movies did guitarist Tony Iommi appear in?,The Rolling Stones Rock and Roll Circus,The Bands The Last Waltz,The Beatles A Hard Days Night,Pink Floyds The Wall,The Rolling Stones Rock and Roll Circus
What was the last Black Sabbath studio album with Ozzy Osbourne as lead singer?,Never Say Die!,Technical Ecstasy,Sabotage,Never Say Die!,Master of Reality
Which of these singers never recorded albums with Black Sabbath in the period 1968-2008?,Joe Lynn Turner,Tony Martin,Ronnie James Dio,Ian Gillan,Joe Lynn Turner
Which statement is true about Gregory Pecks birth?,"He was born Eldred Gregory Peck on April 5, 1916 in La Jolla, California.","He was born Eldred Gregory Peck on April 5, 1916 in La Jolla, California.","He was born Ronald Richard Gregory on April 5, 1914 in San Francisco, California.","He was born Richard Gregory Peck on April 5, 1917 in Santa Barbara, California.","He was born Gregory Edward Peck on April 5, 1915 in Pasadena, California."
Select the correct statement about Gregory Pecks life.,At about 23 he left California to become an actor in New York City.,His father ran a small theater outside of Los Angeles.,He never completed his college degree at U Cal Berkley.,At about 23 he left California to become an actor in New York City.,He had a very stable childhood living in the suburbs of Los Angeles.
Gregory Peck felt that the American Film Institute was just a useless organization.,False,True,False,,
In 1947 Gregory Peck founded this important theater with the help of Mel Ferrer and Dorothy McGuire.,La Jolla Playhouse,L.A. Theater Works,Second City,The Trio Playhouse,La Jolla Playhouse
In 1967 Gregory Peck received The Jean Hersholt Award from the Academy of Motion Pictures Arts  Science. This award is given for which of the following?,Humanitarian activities,Being a member of the Academy for at least 40 years,Never receiving an Oscar and being in many movies,Humanitarian activities,Lifetime achievement in motion pictures
Gregory Peck was well known as an active supporter of the Republican Party.,False,True,False,,
"What do Gene Autry, Kirk Douglas, Gregory Peck and Jimmy Stewart have in common?",Their stars on Hollywoods Walk of Fame were stolen.,They all served on B-17s during World War II.,Their stars on Hollywoods Walk of Fame were stolen.,They all helped Ronald Reagans campaign for the Presidency.,They were speakers at Governor Schwarzeneggers inauguration.
Gregory Peck had many  close friends. Which of the following was not one of them?,Ronald Reagan,Ronald Reagan,Mary Badham,Tony Danza,Michael Jackson
In 1980 Gregory Peck made unpaid ads for the Chrysler Automobile Corporation .,True,False,True,,
"After starring in 1958s  The Bravados, Gregory Peck made this decision.",To buy a real working ranch and raise horses,To move to Texas,To help form section of the Motion Picture Academy for cowboy actors.,To buy a real working ranch and raise horses,To never make another western
Gregory Peck won one Oscar. For which movie did he get the Oscar for The Best Actor?,To Kill a Mocking Bird,Gentlemans Agreement,The Yearling,Twelve OClock High,To Kill a Mocking Bird
In the late 1960s Gregory Peck fought very hard but unsuccessfully for this cause.,To make full-length animated films eligible for the Best Picture Oscar,"To get statehood for Washington, D.C.",To pass the Equal Rights Amendment,To get the US out of the UN,To make full-length animated films eligible for the Best Picture Oscar
Which statement is untrue about Gregory Peck?,He was an opponent of gun control.,He never appeared in an anti-war movie.,"Like todays stars, he owned his own production company.",He was an opponent of nuclear weapons.,He was an opponent of gun control.
Gregory Peck appeared as a hero in a Marvel comic book.,True,True,False,,
Find the untrue statement about Gregory Peck.,He considered running for president against Ronald Reagan.,He considered running for president against Ronald Reagan.,He did most of his own fight scenes.,He met his second wife when she was sent to interview him.,He had two adopted children.
"Over 3,000 people tried to attend Gregory Pecks funeral. To insure that Pecks friends and relatives would have seats they were told to give this password to the ushers.",Atticus,Omen,Gentleman,Atticus,Ahab
What is Hank Williams Jr.s nickname?,Bocephus,Bocephus,Jr.,Willie,Hanky Panky
"Steve is Hank Williams, Jr.s real first name.",False,False,True,,
"In 1975, country singer Hank Williams Jr. fell of off which mountain?",Ajax Mountain,The Ozarks,Ajax Mountain,Mt. Everest,The Smokey Mountains
What was Hank Williams Jr. first wifes name?,June,Sarah,Stephanie,Audrey,June
Hank Williams Jr. was 14 when his dad died.,False,True,False,,
"When was Hank Williams, Jr. born?","May 26, 1949","April 26, 1949","April 3, 1950","May 26, 1949","May 3, 1950"
"Is there a movie based on Hank Williams, Jr.s life?",Yes,No,Yes,,
What is the first name of Hank Williams Jr.s son?,Shelton,Shelton,John,Merle,Bobby
Which of these is not a Hank Williams Jr. song?,Jambalya,Cajan Baby,Jambalya,Standing in the Shadows,Thats the Kind of Life I Live
What was Hank Williams Jr.s first number one album on the country charts?,Songs My Father Left Me,Five-O,Montana Cafe,Songs My Father Left Me,Major Moves
Who was the first European explorer to visit Costa Rica?,Christopher Columbus,Hernan Cortez,Francisco Pizarro,Christopher Columbus,Vasco Nunez de Balboa
Which of these animals cannot be found in Costa Rica?,Giant Armadillo,Manatee,Jaguar,Coyote,Giant Armadillo
"In 2007, Gaston Fournier was selected to be artistic coordinator in this famous Opera House.",La Scala in Milan,Royal Opera House in London,La Scala in Milan,Opera Garnier in Paris,Metropolitan Opera House in New York
"In 2006, Costa Rica was the second exporter in the world of what crop?",bananas,oranges,olives,bananas,apples
What city is the capital of Austria?,Vienna,Prague,Berlin,Vienna,Budapest
Which great composer was not from Austria?,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Johann Strauss,Joseph Haydn,Johann Sebastian Bach
Which of these famous actors was born in Austria?,Arnold Schwarzenegger,Jean Claude van Damme,Sylvester Stallone,Danny De Vitto,Arnold Schwarzenegger
Hermann Maier (Herminator) was an Austrian star of which winter sport?,Alpine skiing,Ski jumping,Cross-country skiing,Ice hockey,Alpine skiing
What is the official language of Austria?,German,Swiss,German,Austrian,Tyrolean
"Austria is a landlocked country, which shares borders with how many other landlocked countries?",5,5,1,0,3
What is the meaning of the word from which the name Austria is derived?,Eastern realm,Southern land,Eastern realm,Land in the mountains,Little Australia
Which mountain range covers most of Austrias territory?,the Alps,the Pyrenees,the Carpathians,the Alps,the Sudeten Mountains
The House of Habsburg was a powerful dynasty from Austria that once ruled half of Europe. Which of these thrones was never occupied by a Habsburg?,Polish,Polish,Dutch,Spanish,Hungarian
Austria-Hungary was a vast empire that covered much of Central Europe. Which present day country was not part of this empire?,Serbia,Bosnia and Herzegovina,Serbia,Czech Republic,Slovakia
What movie brought Anthony Hopkins his first Academy Award?,The Silence of the Lambs,The Remains of the Day,The Silence of the Lambs,The Hunchback of Notre Dame,Shadowlands
What popular painter did Anthony Hopkins portray in a 1996 movie directed by James Ivory?,Pablo Picasso,Rembrandt,Johannes Vermeer,James Abbott McNeill Whistler,Pablo Picasso
What historical figure did Anthony Hopkins portray in the 1981 television film The Bunker?,Adolf Hitler,Otto von Bismarck,Winston Churchill,Adolf Hitler,Heinrich Himmler
"Who is the director of the 1992 horror movie Dracula, featuring Anthony Hopkins as Professor Abraham Van Helsing?",Francis Ford Coppola,Steven Spielberg,Francis Ford Coppola,Luc Besson,Anthony Hopkins
What American President did Anthony Hopkins portray in the 1997 Steven Spielberg movie Amistad?,John Quincy Adams,James Monroe,Andrew Jackson,Martin Van Buren,John Quincy Adams
What character did Anthony Hopkins voice in the 2000 movie How the Grinch Stole Christmas?,The narrator,Max the Dog,Officer Wholihan,The narrator,Mayor Augustus Maywho
"What was the name of the 2001 sequel to the 1991 thriller The Silence of the Lambs, both starring Anthony Hopkins?",Hannibal,The Quiet Desperation of the Lambs,Hannibal,Manhunter,The Cannibal
What character did Anthony Hopkins portray in the 2007 movie Beowulf?,King Hrothgar,Beowulf,Unferth,King Hrothgar,Grendel
"What actor was originally considered for the role of US President Richard Nixon in the 1995 movie Nixon, eventually played by Anthony Hopkins?",All of these,Robin Williams,Jack Nicholson,All of these,Tom Hanks
Anthony Hopkins portrayed this character in the 1993 movie The Remains of the Day.,Head Butler Mr James Stevens,Head Butler Mr James Stevens,Lord Darlington,Congressman Trent Lewis,William Stevens
Comedians Abbott and Costellos most famous routine is Whos on First?.  Which is the only baseball position not mentioned in that routine?,Rightfield,Centerfield,Leftfield,Rightfield,Shortstop
Which mathematical equation does American comedian Lou Costello in a routine use to prove that thirteen 7âs equal 28?,All of these,All of these,Multiplication,Division,Addition
"In which of these sports can a father be a mudder, as explained to Costello by Abbott in one of their comedy routines?",horse racing,horse racing,polo,wrestling,golf
"In the movie Hold That Ghost, what animals does Camille Brewster (Joan Davis) tell Lou Costello she cannot go to bed without?",Mules,Deer,Doves,Sheep,Mules
Can you pick the words that sets off a deranged derelict to beat up Lou Costello every time he hears them mentioned in the movie Lost in a Harem?,Niagara Falls,Off With His Head,Grand Canyon,Sultans Wives,Niagara Falls
"In the movie Naughty Nineties, what does the American comedian Abbott do to prove to his partner Costello that he cannot hit him while they are both standing on the end of a handkerchief?",Closes the door over his half,Makes Costello stand on one leg,Draws a line,Folds it in half,Closes the door over his half
"In the movie Abbott  Costello Meet Frankensteinâ, Costello does a type of magic trick. What is it?",He pulls out the tablecloth without upsetting the candles and dinnerware.,He makes a coin disappear.,He pulls out the tablecloth without upsetting the candles and dinnerware.,He pulls a rabbit out of a hat.,He makes Sandra disappear.
"In Abbott and Costelloâs routine Susquehanna Company, almost all the items that Lou Costello was to deliver were destroyed by people hearing the mention of that companys name. What were those items?",Hats,Gloves,Hats,Pants,Belts
"Which of these foods is the name of a street in comedians Abbott and Costelloâs routine, where Costello gets beaten up by mentioning that name?",Bagel,Orange,Bacon,Bagel,Custard
What year was Lou Ferrigno born?,1951,1950,1955,1954,1951
Lou Ferrigno lost some of his hearing as a child.,True,True,False,,
In what 1977 competition did Lou Ferrigno place 4th?,Worlds Strongest Man,Mr. Olympia,Mr. Universe,Mr. America,Worlds Strongest Man
Which of the following shows did Lou Ferrigno not appear in?,Friends,Friends,My Wife and Kids,Home Improvement,Reno 911
What popular sitcom did Lou Ferrigno play himself in?,King of Queens,Friends,Everybody loves Raymond,King of Queens,8 Simple Rules
Argentina is the second largest country in terms of area and population on the continent it is located.,True,True,False,,
The name of Argentina comes from a Latin word which means silver.,True,False,True,,
What is the official language of Argentina?,Spanish,Spanish,Italian,GuaranÃ­,German
What is the predominant religion in Argentina?,Roman Catholicism,The Church of Jesus Christ of Latter-day Saints,Islam,Protestantism,Roman Catholicism
What is the motto of Argentina?,En uniÃ³n y libertad,Por la RazÃ³n o la Fuerza,La uniÃ³n es la fuerza!,Ordem e Progresso,En uniÃ³n y libertad
What is the national anthem of Argentina?,Himno Nacional Argentino,Himno Nacional de Argentina,Hino Nacional Argentino,Hino Nacional de Argentina,Himno Nacional Argentino
What is the capital of Argentina?,Buenos Aires,Buenos Aires,San Juan,Rosario,La Plata
What is the currency of Argentina?,peso,colÃ³n,peso,dollar,daler
Who is the first president of Argentina?,Bernardino Rivadavia,Bernardino Rivadavia,Manuel Dorrego,Vicente LÃ³pez y Planes,Justo JosÃ© de Urquiza
On what continent is Argentina located?,South America,Asia,South America,North America,Europe
Stephen Fry was born in 1957 to an English father and an Austrian-Jewish mother. Which borough of London was he born in?,Camden,Richmond upon Thames,Wandsworth,Harrow,Camden
Stephen Fry was expelled from two schools between the ages of 14 and 16,True,True,False,,
"At the age of seventeen, Stephen Fry was imprisoned for 3 months for what illegal activity?",Fraud,Assault,Reckless driving,Fraud,Indecency
"Following his release from prison, Stephen Fry studied hard to successfully gain entrance to which University?",Cambridge,Edinburgh,Oxford,Cambridge,Bristol
"While at University, Stephen Fry joined an amateur theatrical group where he met his comedy partner Hugh Laurie. What was the name of the theatrical group?",Footlights,Footlights,Revue,Fringe,Old Vic
Stephen Fry first came to public attention when he partnered Hugh Laurie on Saturday Live. This led to him being cast as Lord Melchett in which successful comedy series?,Blackadder II,"Filthy, Rich and Catflap",Three of a Kind,Blackadder II,The Young Ones
What was the title of the 4-season long TV sketch show created by Stephen Fry and Hugh Laurie?,A Bit of Fry and Laurie,Saturday Night Fry,Moab is my Washpot,Jeeves and Wooster,A Bit of Fry and Laurie
What is the link between Stephen Fry and popular boy-wizard Harry Potter?,Fry is the voice of the audiobook versions of the Harry Potter stories and their videogame adaptations.,Fry is J K Rowlings cousin.,Fry owned the cafeteria at which J K Rowling wrote a lot of the early notes for Harry Potter and the Philosophers Stone.,Fry is the voice of the audiobook versions of the Harry Potter stories and their videogame adaptations.,Fry was originally offered the part of Dumbledore in the Harry Potter films.
"Whilst appearing in the stage play, Cell Mates, in 1995 Stephen Fry suffered a nervous breakdown and disappeared for a number of days. In which country did he reappear in public?",Belgium,France,Belgium,Holland,Germany
What does Brad Pitts tattoo written in French on his left forearm mean?,Life is absurd.,Life is absurd.,The sun will rise again.,God is within me.,My heart belongs to me.
What flower did Cher have tattooed on her ankle?,Rose,Carnation,Sunflower,Orchid,Rose
Which of the following did Beyonce have tattooed on her hips?,An angel,Roses,A heart,A cross,An angel
What animal did actor Nicolas Cage have tattooed on his back?,A lizard,A horse,A lizard,A tiger,A dog
On what part of her body did actress and singer Dolly Parton get a butterfly tattoo?,On her chest,On her wrist,On her shoulder,Her lower back,On her chest
A portrait of whom did Sylvester Stallone have tattooed on his right shoulder?,His wife,His daughters,His wife,Marilyn Monroe,Che Guevara
What does the Hebrew script running down from Victoria Beckhams neck to her back read?,"I am my beloveds, my beloved is mine.",Thou shall not tempt me.,He who increases knowledge increases sorrow.,"I am my beloveds, my beloved is mine.","As ye sew, so shall ye reap."
What king of tattoo did Gisele Bundchen get done on the inside of her left wrist?,A star,Her mothers initials,A bunny,A star,A strawberry
What number did Eva Longoria have tattooed in English on the back of her neck?,Nine,Eleven,Nine,Three,Seventeen
What cartoon character did Christina Aguilera have tattooed on her lower abdomen?,Mickey Mouse,Bugs Bunny,Mickey Mouse,Flounder,Winnie-the-Pooh
Alec Baldwin received his first Academy Award nomination for his performance in this 2003 movie.,The Cooler,The Aviator,The Cooler,Pearl Harbor,Along Came Polly
In what 1997 movie did Alec Baldwin portray ambitious fashion photographer Robert Green?,The Edge,The Edge,The Acting Class,Notting Hill,The Confession
What animal character did Alec Baldwin voice in the 2008 animated movie Madagascar: Escape 2 Africa?,Lion,Zebra,Lemur,Lion,Penguin
"In what 2006 Martin Scorsese movie did Alec Baldwin portray Captain George Ellerby, commander of the Special Investigations Unit?",The Departed,The Departed,The Edge,The Aviator,Pearl Harbor
What Academy Award-winning actress starred opposite Alec Baldwin in the 1996 drama movie Ghosts of Mississippi?,Whoopi Goldberg,Oprah Winfrey,Halle Berry,All of these,Whoopi Goldberg
Alec Baldwin portrayed a man who dies and turns into a ghost in this 1988 movie.,Beetlejuice,Heavens Prisoners,Ghost,Malice,Beetlejuice
Who is the director of the 2004 biographical drama movie The Aviator that featured Alec Baldwin among others?,Martin Scorsese,Steven Spielberg,Martin Scorsese,Tim Burton,James Cameron
Alec Baldwin starred opposite this Hollywood actress in the 1992 romantic fantasy movie Prelude to a Kiss?,Meg Ryan,Melanie Griffith,Julia Roberts,Kim Basinger,Meg Ryan
