question,answer,A,B,C,D
This double-letter word refers to a yummy baked dish that can be delivered to your house hot and ready to eat.,Pizza,Rolls,Spaghetti,Pizza,Moonpies
The word savvy means intelligence or common sense.,True,True,False,,
The word vacuum means a space entirely devoid of matter.,True,False,True,,
These furry bundles of joy sometimes cause severe allergies in people.,kittens,rattle snakes,wobbles,goons,kittens
Which of the following words best fits this sentence: The next ____ will be out soon for everyone to read.?,issue,newspaper,bubble,issue,pizzas
"A bubble is a period of intense speculation in a market, causing prices to rise quickly to irrational levels and then fall even more quickly as the bubble bursts.",True,True,False,,
Sometimes people who hike  very long distances hide supplies in boxes along their route. What are these boxes called?,bounce boxes,suppliboxes,route boxes,bounce boxes,roadplies
In 2007 this expression was introduced to describe an economy that is in a real frenzy.,cappuccino economy,latteconomy,cappuccino economy,caffeine economy,Potus
Someone who did not like the hardware made by Apple might use this expression.,MacIntrash,MacIntrash,Sourapple,Roottenmacs,Jobs Sobs
"Because of the high cost of medical care, some older adults are abandoned by their caretakers. What is this called?",granny dumping,gerontal deprivation,patriloss,parentaloss,granny dumping
Sometimes people can get so many e-mails that they cannot deal with them. They might just delete them all and start again. What is this action called?,e-mail bankruptcy,e-mail bankruptcy,e-looting,Instamesagloss,virtual bankruptcy
This new form of exercise which combines step aerobics with soul music.,Funkinetics,Stephopping,Exergaming,Aerohop,Funkinetics
Which of these words describes movies that contain extreme and unnecessary violence.,gorno,xoviolence,gorno,tremovile,xtremolence
In computer messaging punctuation marks are sometimes used to show human emotion. What do we call a series of such marks?,emoticons,emoticons,textations,virtutions,emailotions
The mentoring system is all the rage. Which word refers to a person being mentored?,mentee,monitor,mentator,mentee,mentationary
This word refers to a newly wed man who was a bachelor for many years.,a Benedict,a Benedict,a Neothorpe,a Neosexual,a Bachephile
Which word refers to a very long-winded person?,A.S.S. Graduate,mzee,lopomo,A.S.S. Graduate,twonk
"This is a Navaho legend, explaining the formation of a constellation. According to this myth there was a girl who married a bear. Her younger sister told their father and he got so furious, he killed the bear. In order to revenge, the bigger sister turned into a bear and began chasing her siblings. She killed her seven brothers who flew up in the sky and formed this constellation.",Ursa Major,Ursa Minor,Ursa Major,Lynx,Draco
"This Navajo god of rains, whose name means water sprinkler, often played waggish tricks on mankind, but he never harmed anyone.",Tonenili,Skywoman,Dineh,Spider Woman,Tonenili
"When evoked to cure an illness, this spirit could take the form of either a woman or a man, depending on the gender of the patient.",Asgaya Gigagei,Aningan,Atira,Breathmaker,Asgaya Gigagei
This military practice was widespread among American Indian tribes well before the European colonists came to the New World. It provided warriors with proof of his courage and a war trophy.,Scalping,Shouting,Snake Dance,Riding horses,Scalping
"These items, taken from birds, were usually accepted as marks of honor or sources of ideas. They were also symbols of the Creative Force.",Feathers,Claws,Wings,Feathers,Beaks
"This animal was considered an important spirit among most of the Northern tribes. It was responsible for sorrow and death, and was an omen of impending evil.",Coyote,Coyote,Bear,Eagle,Raven
"According to the Iroquois, this woman fell from a hole in the sky and brought light to the world.",Skywoman,Sunwoman,Skywoman,Moonwoman,Cloudwoman
According to the Iroquois these demon gods flew during storms and ate people as humans were very delicious to them.,Big heads,Bodyless,Storm heads,Flying heads,Big heads
"This bird is considered to be the master of the sky. It is the carrier of prayers, venerated for its courage and wisdom.",Eagle,Eagle,Vulture,Owl,Condor
"According to the Pawnees this star was evil, since it had driven the Sun out of the sky.",Evening star,Sirius,Morning star,Evening star,Venus
Which one of these Renaissance artists was at first apprenticed to a goldsmith?,Alessandro Botticelli,Raphael Sanzio,Leonardo da Vinci,Michelangelo Caravaggio,Alessandro Botticelli
"The Birth of Venus, The Annunciation, Medusa, and Flora are four artworks that all have this in common.",They are exposed in the same gallery,They are exposed in the same gallery,They depict one and the same subject,They have one and the same author,They have nothing in common
"Michelangelos marble sculpture, Moses, was originally intended for the tomb of Pope Julius II in St. Peters Basilica, but after the popes death the sculpture was placed in a church on this hill -- one of the famous seven hills in Rome.",Esquiline,Esquiline,Celio,Palatino,Aventino
Which Medici family member commissioned the great Florentine architect Brunelleschi to reconstruct the Church of San Lorenzo in 1419?,Cosimo the Elder,Cosimo I the Great,Cosimo the Elder,Giovanni di Bicci de Medici,Salvestro de Medici
"This one of Donatellos bronze statues was notable as the first unsupported standing work in bronze cast, since classical times.",David,The Feast of Herod,David,Mary Magdalen,St. Mark
"Caravaggio was a Baroque painter, and this was the main subject in most of his artwork.",Young men,Animals,Young men,Landscapes,Nude women
"Only one of these sculptures is not a work of Antonio Canova, famous for his ability to delicately render nude flesh in his statues.",The Virgin,The Three Graces,Daedalus and Icarus,Cupid and Psyche,The Virgin
"Typical of the baroque architecture, this was the paradigm of the basilica, mainly in Italy and France.",Crossed dome and nave,Clerestory windows,Apse of one end,Crossed dome and nave,Interior colonnades
Which of these words means to be transitory or perishable?,Caducity,Panoptic,Antithetical,Caducity,Cavil
Indomitable means unconquerable.,True,True,False,,
Which of these words is defined as indifferent or nonchalant?,Pococurante,Binary,Askew,Pococurante,Lissome
The term waddy is a noun that means sailor.,False,True,False,,
What word defines a person who lives in seclusion for religious reasons?,Anchorite,Garderobe,Wimple,Canard,Anchorite
Panoptic means having a panoramic view.,True,True,False,,
What noun refers to a bald-headed man or a man that is looked at with humor or mock pity?,Pilgarlic,Libertine,Pilgarlic,Infix,Distrait
The word palmy means poor or underfunded.,False,True,False,,
What word means either cheerful and optimistic or having good digestion?,Eupeptic,Eupeptic,Demulcent,Resplendent,Estival
Jocose means somber or depressed.,False,True,False,,
What is a privet?,a type of shrub,an electronic circuit,a prudish person,a type of animal,a type of shrub
"Which of these words means loose hemp or jute fiber, occasionally treated with pitch or tar?",oakum,oak leaf cluster,oakum,ocarina,oarlock
Can you define the word nimbus?,a halo or bright light,a state of being numb,a halo or bright light,an alcove or recess in a wall,a radioactive element
Milch is an adjective that can be put before which of the following words?,cow,cow,oxen,bull,hen
What word refers to an emperor of Japan?,Mikado,Reredos,Mufti,Mikado,Milt
Which one of these words denotes a type of shade tree?,Linden,Ligroin,Lignite,Likuta,Linden
What is a killdeer?,a bird,a Turkish viceroy,a type of deer,a bird,an English economist
Where would you find a jalousie?,in a home or building,in a home or building,in a vehicle,on your head,on your hat
What color is the Iridium?,yellow,yellow,red,blue,green
Where would find a half track?,in the military,in your car,in the military,in a gym,in a plane
What character does Beyonce Knowles portray in the 2006 movie Dreamgirls?,Deena Jones,Michelle Morris,Lorell Robinson,Deena Jones,Madeline  Robinson
What is Jamie Foxxs role in the movie Dreamgirls?,"Curtis Taylor, Jr.","Curtis Taylor, Jr.",C. C. White,James Thunder Early,Marty Madison
In which city does the movie Dreamgirls begin?,Detroit,New York City,Los Angeles,Chicago,Detroit
"In the movie Dreamgirls, this actress portrays Lorrell Robinson, the only original member of the group  who was never the lead singer.",Anika Noni Rose,Sheryl Lee Ralph,Anika Noni Rose,Amanda Morris,Sharon Leal
Who does Eddie Murphy portray in the film Dreamgirls?,James Thunder Early,Marty Madison,Wayne,James Thunder Early,"Curtis Taylor, Jr."
Who portrays Effie Melody  White in the 2006 movie Dreamgirls?,Jennifer Hudson,Jennifer Warens,Jennifer Hudson,Jennifer Holliday,Jennifer Halliday
"In the movie Dreamgirls, who is the only  singer to have a child?",Effie,Madeline,Deena,Michelle,Effie
"In the movie Dreamgirls, this actor plays Marty Madison, an old time manager, who is pushed out  of business by Curtis.",Danny Glover,Danny Glover,John  Lithgow,Adam Brooks,James Krasinski
Who directed the movie Dreamgirls?,Bill Condon,Michael Bennett,Bill Condon,James Krasinski,Tom Eyen
"Jamie Foxx, who stars in the movie Dreamgirls, sang the theme song for what 1999 movie?",Any Given Sunday,Any Given Sunday,Anywhere But Here,Anything Fo You,Anythings Possible
"Jamie Foxx, Jessica Lange, Julianne Moore, Holly Hunter, Al Pacino, Sigourney Weaver, Barry Fitzgerald, Teresa Wright and Faye Bainter share what distinction?",They were nominated for both a lead actor/actress and supporting actor/actress Oscar in the same year.,They were nominated for both a lead actor/actress and supporting actor/actress Oscar in the same year.,Each was nominated for an Oscar for their first movie.,They are all alumni of USCs drama school.,They were nominated for Oscars in three consecutive years.
This star from Boston Public is the only actress from the original Broadway cast of Dreamgirls who appeared (and sang) in the 2006 movie adaptation.,Loretta Devine,Diane Adams,Loretta Devine,Sharon Leal,Beyonce Knowles
Who originated the role of Deena Jones in the Broadway play Dreamgirls?,Sheryl Lee Ralph,Michelle Adams,Sheryl Lee Ralph,Beyonve Knowles,Jennifer Halliday
Who originated the role of Effie on the Broadway production Dreamgirls?,Jennifer Holliday,Jennifer Warens,Jennifer Holliday,Jennifer Halliday,Jennifer Hudson
How was the movie Dreamgirls rated?,PG-13,X,PG-13,G,PG
The original Broadway play Dreamgirls was designed to feature which actress/singer?,Nell Carter,Sheryl Lee Ralph,Diana Ross,Pearl Bailey,Nell Carter
Which word means extravagance in cooking and/or serving?,abliguration,ascerose,accolent,alimenation,abliguration
Which word means leave hurriedly or secretly?,absquatulate,absquatulate,alleperpate,accolent,absperpate
What does abactor mean?,a cattle thief,a cattle thief,a doctor who heels back and / or spinal pain,a person who edits a book,a person who retracts a decree
What does the word axilla mean?,an armpit,a medieval weapon with two sharp faces,a tiny worm found in Southern Europe,an armpit,the part of a flower protecting the reproductive organs
Which word means fear of solitude?,autophobia,autophobia,automysophobia,avalophobia,auxiolophobia
Which word means pertaining to grandparents?,aval,aval,avital,avanital,autovitalic
What does anatine mean?,duck-like,duck-like,naval or marine,unusually large and/or  fat,reptile like
What is the definition of the word acoushla?,a term of endearment,a term of endearment,a term of military respect,a type of two-person fishing boat used in Scotland and Northern Ireland,a type of gnome mentioned in Irish literature
Which word means a person learning the alphabet?,abecedarian,avuncularian,abcederrian,abcadarian,abecedarian
What does acronyal mean?,occurring at sunset,not at a regular time,late,occurring at sunset,not on an annual basis
Select the correct spelling.,bellwether,bellweather,belweather,bellwether,belwether
Hestia is the goddess of the hearth in Greek mythology.,True,True,False,,
Apollo is the Greek god of the hunt.,False,True,False,,
Goddess Demeter taught the human beings what according to Greek mythology?,Farming,None of these,Farming,Swimming,Hunting
What is Poseidon god of in Greek mythology?,Nature and the seas,Nature and the seas,None of these,Movement,Poisons
"When drawing the human form, the entire figure is generally how many heads tall?",8,10,6,8,7
"While tempera paint rarely includes this ingredient nowadays, it was prevalent with the Byzantine artists of the thirteenth and fourteenth centuries.",Egg yolk,Sulfur,Egg yolk,Lye,Ash
Which of the following is not a type of pottery?,Glazeware,Porcelain,Stoneware,Earthenware,Glazeware
Which of the following is not a movement in art history?,Subrealism,Bauhaus,Dada,Rococo,Subrealism
"When creating a woodcut or linoleum print, you would generally carve out (or remove) which of these?",Negative space,Subject,Foreground,Interior,Negative space
Which of these qualities represents the major difference between watercolor and acrylic paints?,Level of opacity,Solubility,Level of opacity,Cost,Rate of drying
"What style of art breaks from traditional perspective and depicts the subject matter from multiple points of view, fragmenting a three-dimensional form in order to depict it on the two-dimensional surface?",Cubism,Fauvism,Cubism,Impressionism,Expressionism
Which of the following is not an ingredient in typical camera film?,Sucrose,Gelatin,Polyester,Sucrose,Cellulose Acetate
"A drawing in which one continuous line is used to trace the outlines of the subject matter, using more or less pressure to suggest shadow, is called what?",Contour,Gesture,Line,Contour,Trace
"The method of watercolor painting in which paper, crumpled plastic wrap, or other items are applied to the paint when wet and removed after drying is called decalcomania.",True,True,False,,
Tango is a complicated dance with even more complicated origins. Angel Villoldo was the first to ever record a Tango. This is the home of Tango (and Angel Villoldo ).,Argentina,Spain,England,France,Argentina
One of the most popular Latin American dances is cha-cha-cha. It became popular in the United States in the 1950s and its music was derived from the music of this dance.,Mambo,Mambo,Foxtrot,Merengue,Polka
The home country of Salsa is Brazil.,False,True,False,,
One of the best (some say he was the best ever) tango dancers was JosÐµ Ovidio Bianquet. His story is as mysterious as tango itself and his nickname is one of the most legendary in the history of this great dance. What is it?,El Cachafaz,Sin rumbo,El Tarila,El Cachafaz,El Vasco
"The word samba is probably derived from the Angolan semba, meaning a religious rhythm. The dance and its music were born in the black ghettos of this city. The biggest samba carnival is also held in this city.",Rio de Janeiro,Rio de Janeiro,San Juan,Havana,Brasilia
Merengue was born in Portugal in the 16th century as part of an important ritual.,False,False,True,,
Probably the most famous and influential ballroom dance is Waltz. Its closed position became an example for many other dances and made it very fashionable. Waltz first became popular in this city and then spread all over the world.,Vienna,Paris,Toledo,Vienna,London
"One of the symbols of the Spanish culture is the Flamenco (Flamenco originally meant Flemish in Spanish). At first Flamenco consisted only of unaccompanied singing, but later came the other essential ingredients, such as the dance and the guitar. What is the name of the flamenco guitar?",Toque,Cajon,Palmas,Toque,Baile
Quadrille was born as part of military parades in the 17th century and was performed by 4 horsemen and their horses.,True,True,False,,
"This is a Polish folk dance which became quite popular at ballrooms. It is in triple time and its tempo is usually moderate. It has spread all over the world in countries such as the United States, Russia and France.",Mazurka,Polka,Mazurka,Polska,Cumbia
This Latin phrase means to a sickening or tiresome degree.,ad nauseam,sic malaria,in tota nauseam,sin vibre,ad nauseam
"In debating, this term refers to an argument that attacks a persons character, as opposed to the subject of debate.",ad hominem,ad hoc,ad hominem,in argumentatus,ad homunculus
This is a label inside a book that bears the owners name.,ex libris,ad literatus,ex libris,in libro,ex literatus
"In England, names of places ending in chester, like Manchester and Winchester come from a Latin word meaning what?",camp,meadow,stream,camp,house
Argentina comes from the Latin word Argentum which means silver.,True,True,False,,
"A corrupted version of the Arabic word wadi, meaning watercourse, gives us this Spanish toponym.",Guadalajara,Salamanca,Madrid,Andalucia,Guadalajara
"The Native Americans knew this place as Mesconsing, Lewis and Clark recorded it as Quisconsing. Its name was further distorted. What do we know it today as?",Wisconsin,Wisconsin,Quebec,Colorado,"Lansing, Michigan"
"What do the toponyms Rio Grande, Mississippi and Ta Ho mean in their native tongues?",Big River,Long River,Big River,Great River,Surrounded by water
Cairo means happiness in Arabic.,False,True,False,,
What place in New York was named Vlissigen by the Dutch?,Flushing,Yonkers,Brooklyn,Flushing,Harlem
Omaha is a distorted Native American tribal name.,True,True,False,,
What does Sahara mean in Arabic?,wasteland,oasis,fertile,wasteland,sand
For which monarch was the state of Virginia named?,Queen Elizabeth I of England,King Louis IV of France,King Virgil of Denmark,Mary Queen of Scots,Queen Elizabeth I of England
Which one of these words means an ornamental clasp or pin?,brooch,brocade,ballast,bivouac,brooch
Pick the B word that does NOT mean to nag or intimidate.,befuddle,bluster,befuddle,badger,browbeat
Which one of these words means to soil or defile?,besmirch,besmirch,bewitch,broach,beseech
Which of the following words does NOT mean a blessing?,blight,benediction,benevolence,blight,boon
What does the word blithe mean?,joyous and lighthearted,joyous and lighthearted,full of errors,"limber, spry, agile",hard to understand
Choose the B word that means rough or noisy.,boisterous,bawdy,boisterous,boorish,bland
Which of these word means a large group?,bevy,bugaboo,bastion,bevy,blandishment
Which of these B words means shortness of duration?,brevity,blasphemy,bureaucracy,brevity,buffoonery
Which one of these words means cheerful and optimistic?,buoyant,buoyant,bacchanalian,bereft,bucolic
Which of these words means highly ornate?,baroque,baroque,bombastic,blase,burnishing
Is it true that the figures of Cupid throughout history have had two different sides?,Yes,Yes,No,,
There are several different stories about Cupids parentage and the most popular is that his mother is Venus and his father - Mars.,True,True,False,,
The typical Christian depiction of a cherub is often compared to Cupid.,True,False,True,,
Cupid appears in the movie Toothless and is portrayed by actor Richard Chamberlain.,False,True,False,,
"According to Greek mythology, this god is responsible for lust, love and sex.",Eros,Eros,Cupid,Mars,Kama
"In ancient Athens, one day per week was sacred to Eros.",False,False,True,,
"February 14 is the day set aside for Valentines Day, the day celebrating love.",True,False,True,,
100 million valentines are estimated to be given out in February in honor of Valentines Day.,False,False,True,,
What kind of creature is the leprechaun in Irish mythology?,Fairy,Fairy,Gnome,Dwarf,Demon
"Which popular NBA team has a logo, featuring a leprechaun?",Boston Celtics,Washington Wizards,L.A. Lakers,Boston Celtics,Orlando Magic
Once leprechauns were described as creatures dressed in red.,True,False,True,,
What is the traditional craft practiced by leprechauns according to Irish mythology?,making shoes,making shoes,making shamrocks,making hats,making gold coins
"According to legend, a leprechaun must tell the truth if looked directly in the eye.",True,True,False,,
"In the old days, in order to keep leprechauns content, Irish people used to leave out a dish of what?",Milk,Milk,Beer,Whiskey,Cookies
There are female leprechauns.,False,True,False,,
A quorum has to do with a group of  which of these?,people,flowers,words,animals,people
Which of these words is associated with clothing?,raiment,raison detre,raiment,recherche,rugger
Pick out the word that means a type of person.,sybarite,sylvan,sybarite,stentorian,sternum
Tellurium is a metallic element of this color combination.,silvery/white,black/white,silvery/white,red/white,gold/white
The word umbilicus refers to what part of the human body?,the navel,the legs,the eye brows,the head,the navel
Which of these words means having an insatiable appetite?,voracious,vole,viviparous,vizier,voracious
Which of these animals can be a wrasse?,fish,goat,antelope,pig,fish
Pick out the name of the king of Persia from either 519-465 B.C. or 486-465 B.C.?,Xerxes,Xenon,Xebec,Xerxes,X-axis
The word yurt is similar in meaning to which of these words?,tent,a medieval creature,ship,statue,tent
Zoroastrianism refers to which of the following?,a type of religion,,a type of religion,human sacrifice,Greek philosophy
Which of these words means to guess?,conjecture,conjecture,castigate,contrive,coerce
Does the word clemency mean the state of being a huge Mark Twain fan?,No,Yes,No,,
Pick the word that does NOT mean conversation.,concordance,colloquy,chitchat,concordance,conference
Which of these words can be defined as an expert critical judge of art?,connoisseur,coquette,connoisseur,clairvoyant,charlatan
Which one of these words means pleased or satisfied with oneself?,complacent,capacious,complacent,congenial,candid
Which of these words means panic?,consternation,cynicism,cataclysm,cacophony,consternation
Pick the word that means annoyance at ones own failures or errors.,chagrin,cupidity,collusion,chagrin,composure
Which one of these words means to recover after a sickness?,convalesce,cauterize,convalesce,coddle,conciliate
The word centimeter means one hundred meters.,False,False,True,,
Find the word that does NOT mean to hold back.,conduce,check,constrain,control,conduce
For which culture does a Sinophile have an obsessive love?,China,France,China,Japan,England
Philhellenism is an obsessive love of which culture?,Greek,Chinese,Japanese,Greek,German
What is cyberphilia?,An obsessive love of the Internet,An obsessive love of the Internet,An obsessive love of flowers,An obsessive love of cybersex,An obsessive love of electronics
This is an obsessive love of  clowns.,Coulrophilia,Cacophilia,Bathyhilia,Coulrophilia,Bufonophilia
Of course there is a word for an obsessive love of peanut butter sticking to the roof of your mouth. Which one is it?,Arachibutyrophilia,Bibilophilia,Arithmophilia,Arachibutyrophilia,Canophilia
This is an obsessive love of walking.,Ambulophilia,Tocophilia,Pedalophilia,Ambulophilia,Sesquipedalophilia
For what does a lygophile have an obsessive love?,Darkness,Wine,Old people,Darkness,Kindness
This is an obsessive love of cats.,Ailurophilia,Phallainophilia,Catagelophilia,Apiophilia,Ailurophilia
Trichophilia is an obsessive love of what ?,Hair,The dark,Pain,Hair,Insects
What do we call an obsessive love of being ridiculed?,Catagelophilia,Enochlophilia,Agathophilia,Catagelophilia,Drosophilia
What is the term for obsessive love of wild animals?,Agriozoophilia,Agriozoophilia,Pogophilia,Zoaphilia,Atelophilia
What is  cenophilia ?,An obsessive love of empty spaces,An obsessive love of being dirty,An obsessive love of empty spaces,An obsessive love of animal fur skins,An obsessive love of school
Which of these phrases can mean fashionable?,a la mode,a propos,a la carte,a gogo,a la mode
"Literally (not figuratively), what does the word adieu mean?",to God,to God,farewell,what,hello
What is an aperitif?,a before meal drink,a terrific person,a before meal drink,an opening,a guess
What does blase mean?,unimpressed,blazer,unimpressed,tired,bleak
Cafe au lait is an outdoor cafe.,False,True,False,,
What does the word coquette mean?,a flirtatious girl,a flirtatious girl,a fancy hair style,a salmon patty,a type of poodle
Which phrase refers to love of life?,joie de vivre,joie de livre,joie de vivre,joie dadore,joie de cafe
"The definition of the phrase, cause celebre, is an issue arousing widespread controversy or heated public debate.",True,True,False,,
What is the literal translation of vis-a-vis?,face to face,face to face,I see you,up front,in regards to
Which phrase can mean feat of strength?,tour de force,soup du jour,tete a tete,tour de suite,tour de force
Suppose you wanted to study law and become a lawyer.   The word for lawyer in Spanish is _______________.,abogado,peluquero,abogado,conductor,cocinero
"In Spanish, what would you be called if you were a fireman?",bombero,ebanista,banquero,botanico,bombero
What if you wanted to be the mayor of your town?   What would that profession be called in Spanish?,alcalde,clerigo,tabernero,alcalde,carnicero
"How about if you become a baker?  In Spanish, you would be called a what?",panadero,panadero,carpintero,marinero,cerrajero
Youre 5 years old.   Your mommy asks you what you want to be when you grow up.  You say I wanna be a cowboy.  How would you say cowboy in Spanish?,vaquero,contador,escultor,vaquero,taquillero
"My dad is an avid fisherman.  If he were a Spanish fisherman, what would his profession be called?",pescador,florista,cartero,pescador,artesano
"If you wanted to be a clown in a Spanish circus, you would be called a payaso.",True,True,False,,
Your father was a cobbler. Your grandfather was a cobbler. Your great grandfather was a cobbler.  Chances are you may become a cobbler too.  What would the Spanish word for cobbler be?,zapatero,criado,zapatero,jardinero,camarero
"Okay, so you want to be a judge in Madrid.  What word would you be called?",juez,juez,plomero,cambiadiscos,borracho
My brother lives in Mexico City.  He wants to be a trainer.  What would his job be called in Spanish?,entrenador,enfermero,droguero,entrenador,fraile
What is the English word for the Spanish word fiesta ?,party,three,nap,fire,party
How do you translate the Spanish word pescado into English?,fish,mosquito,fish,pessimism,fire alarm
What is the English word for the Spanish paloma?,pigeon,friend,sheep,wind,pigeon
The English word for the Spanish word corazÃ³n is what?,heart,corridor,complaint,heart,candle
Give me the English word for the Spanish word hermano.,brother,herring,hermit,golf course,brother
How does one say the word naranja from Spanish into English?,orange,black,orange,green,purple
Now give me the English word for the Spanish word espejo.,mirror,mirror,perjury,horse,special
Give me the English variant for the Spanish first name Guillermo.,William,George,Joshua,James,William
What is the translation of the Spanish word miÃ©rcoles in English?,Wednesday,Wednesday,Saturday,Friday,Monday
How do you translate cuchara from Spanish to English?,spoon,spoon,knife,fork,plate
What is a Tombola?,A type of lottery,A type of lottery,A bone of the inner ear,A male cricketer,A musical instrument
Tomentum is a word describing the increase in speed of a rolling object which is then accelerated e.g. kicking a soccer ball,False,True,False,,
What is another word for tome?,work,sound,pass,work,trumpet
Which Tom played Dr Who in the cult BBC television series?,Tom Baker,Tom Baker,Tom Stoppard,Tom Archer,Tom Collins
Which musician(s) created the rock opera Tommy?,The Who,The Rolling Stones,Elton John,The Beatles,The Who
"A Tom Collins is a long drink consisting of vodka, lime or lemon juice, sugar and soda water.",False,False,True,,
"In Greek mythology, Sirens often led sailors to their deaths with their beautiful songs.",True,False,True,,
"In Greek mythology, a minotaur was made up of what two creatures?",man and bull,man and horse,man and woman,man and bull,man and lion
This 3-headed beast guarded the gates to Hades.,Cerberus,Hydra,Sphinx,Cerberus,Zylon
How do we call a person who initiates an attack?,aggressor,aggressor,tailor,scarfor,administrator
This is how we refer to a person who writes any type of literary products.,author,creator,director,educator,author
What is the term for a person responsible for devising a new machine or a new process of doing something?,inventor,administrator,author,mentor,inventor
How do we call a person who takes on a new identity in order to deceive?,impostor,impostor,aggressor,perceptor,deceptor
"Someone who entertains by pretending to be someone else, usually either in a play or through film products.",actor,actor,spectator,director,creator
A university or college teacher is known as a professor.,True,True,False,,
How do we call someone that does detective work?,investigator,investigator,instigator,supervisor,impostor
A tailor is someone who only makes new clothes.,False,True,False,,
A spectator is someone who participates in activities or sporting events.,False,True,False,,
Which of these terms are used for a person who is responsible for or oversees the work done by others?,all of these,administrator,supervisor,director,all of these
"This god, representing everything that threatened harmony in Egypt, was the brother of Osiris and Isis. He murdered Osiris, then battled with his nephew Horus to be the ruler of the living.",Seth,Sobek,Seth,Shu,Thoth
"Since jackals were often seen in cemeteries, the ancient Egyptians believed that Anubis, a god with human body and jackal head, watched over the process of embalming.",True,True,False,,
"Tawaret was a goddess who protected women during pregnancy and childbirth. She was most often depicted with the head of a hippopotamus, arms and legs of a lion, back and tail of a crocodile, and breasts and stomach of a pregnant woman.",True,True,False,,
The goddess Anekantin was Isisâ sister and Anubisâ wife.,False,True,False,,
This center is associated with intuition and sensory perception.,Center of brow,Center of brow,Heart,Mid-back,Base of spine
Location of the spiritual center.,Throat,Crown,Back,Spine,Throat
What color would you use to heal the etheric (root) center?,Red,Blue,Green,Red,Yellow
What color would we nedd to heal the soul?,Violet,Yellow,Green,Orange,Violet
"The hara, located approximately three inches below the navel, also know as this chakra.",Orange,Orange,Green,Indigo,Pink
"The heart center located at the center of the chest is this color and controls the circulatory system, heart, lungs and entire chest area.",Emerald Green,Blue,Emerald Green,Brown,Yellow
The brow center is associated with a persons extra-sensory perception and inner vision.  It is represented by this color.,Indigo,Green,Indigo,Amber,Pink
"This color is used to heal the solar-plexus, also known as the power center.",Yellow,Red,Pink,Yellow,Violet
How many major chakras are there?,7,7,9,8,6
Chakras are centers for this intangible quality.,Energy,Emotion,Soul,Energy,Spirit
Which German word means knowledge in English?,Kenntniss,Kuchen,Kenntniss,Trinken,Antwort
The German noun Frage means question in English.,True,False,True,,
How is the German word Arztin translated into English?,Doctor,Doctor,Kitchen,Art show,Bathroom
What is the English equivalent of the German phrase Woher kommen Sie?,Where do you come from?,Where is that?,Where do you come from?,What is that?,What did she say?
"German and English have a lot in common, because they both belong to the group of Germanic languages. How is the question Wie alt sind Sie? translated into English?",How old are you?,Where do you live?,How do you get there?,How do you do?,How old are you?
What is the word for table in French?,table,table,escritoire,chaise,armoire
How do you say cat in French?,chat,oiseau,chat,chien,cheval
"If I wanted to say the word pencil in French, what would I say?",crayon,craie,gomme,stylo,crayon
"Count to five in French: un, deux, trois, quatre, ____. What is the missing number?",cinq,huit,dix,cinq,cinquante
What is the French word for snow?,neige,pluie,soleil,neige,vent
Which of these is the French word for peace?,paix,confiance,bonheur,paix,amour
What is the word for egg in French?,oeuf,oeuf,quiche,jambon,crÃªpe
How does one say cup in French?,tasse,fourchette,assiette,tasse,cuillÃ¨re
Youâre in France and you want to tell someone that he has a nice tie. What is the word for âtie?â,cravate,cravate,chaussette,chaussure,chapeau
What is the French word for sea?,mer,chÃ¢teau,montagne,maison,mer
Watch out! The road is under _____________.,Construction,Construction,Water,Pressure,Age
"What does the Latin phrase Quidquid latine dictum sit, altum videtur mean?",Anything said in Latin sounds profound,Latin is the mother of all languages,Every wise man should speak Latin,Anything said in Latin sounds profound,"You cannot see the truth, until you learn Latin"
What does Ad astra per aspera mean in English?,To the stars through hardships,Humankind aspires to reach the stars,One cannot reach a star,Rich people never smile,To the stars through hardships
"Julius Caesar once said veni, vidi, vici. What did he mean?","I came, I saw, I conquered",To win is to see yourself winning,A good enemy is a dead enemy,A friend in need is a friend indeed,"I came, I saw, I conquered"
What is vir in Latin?,A man,A man,A virus,A human,An enemy
What does Vae Victis mean?,Woe to the conquered,Glory to the winners,Woe to the conquered,"If you win, you loose",Beware of the conqueror
"If your business partner says pacta sunt servanda, what does he/she mean?",Agreements must be honoured.,Your business is finished.,Agreements must be honoured.,You are my slave now.,How can I serve you?
To whom can you say Cura te ipsum!?,"To a doctor, when you do not agree with his/her diagnosis",To a policeman who arrests you,"To your partner, expressing your love","To a beggar, when you dont have any money","To a doctor, when you do not agree with his/her diagnosis"
"When they refer to future events in writing, some people use DV which stands for Deo volente. What does it mean?",By Gods will,"While life is, hope is",God is (my) protector,God wills it,By Gods will
When is it proper to say Nunc est bibendum?,At a party,When you want to smoke,At a party,In court,At a catholic mass
"What does Roma locuta, causa finita est mean?","Rome has spoken, the discussion is finished.",Rome wasnt built in a day.,"Rome has spoken, the discussion is finished.","When in Rome, do as the Romans do.",All ways lead to Rome.
What is the meaning of sapiens?,"wise, reasonable",a mammal,"wise, reasonable",walking on two legs,human
How can Nemo sine vitio est be translated into English?,No one is without fault,No one is without fault,To sin is human,No-one is a judge in his own case,Fish dont have voice
What is the missing part of the proverb Hatred is as blind as ...?,Love,A mole,None of these,Love,Darkness
Finish the proverb: Blood is thicker than ...,Water,Sweat,Tears,Wine,Water
What is the missing word in the popular proverb A stitch in time saves ...?,Nine,Nine,Everybody,A dime,Thousands
