question,answer,A,B,C,D
Who founded the Scientology philosophy and religion?,L. Ron Hubbard,L. Ron Hubbard,Marion Davis,Jason Beghue,Judson Lord
"This actor, who made it big as a high school gang member, delivering paint and flying airplanes, is one of the most famous Scientologists.",John Travolta,Hayward Nelson,John Travolta,Christian Slater,Brad Pitt
"Which of these voice actors/actresses from The Simpsons series, is a Scientologist?",Nancy Cartwright,Dan Castellaneta,Nancy Cartwright,Hank Azaria,Harry Shearer
These two brothers are Scientologists who acted on famous comedy sitcoms. One was on That 70s Show and the other one was the oldest brother on Malcolm in the Middle. What is their last name?,Masterson,Prepon,Masterson,Ribisi,Kidman
Which Scientologist played the wife of âThe King of Queens?,Leah Remini,Juliette Lewis,Mimi Rogers,Ann Archer,Leah Remini
Which of these musicians is not a Scientologist?,Michael Bolton,Chick Correa,Beck,Brandy,Michael Bolton
What Scientologist started the EST movement?,Werner Erhard,David Miscavige,Werner Erhard,Greta  Van Susteren,Sonny Bono
What was Operation Snow White?,An attempt by Scientology to infiltrate the US government,An attempt by Scientology to gain publicity by hiring writers to give it a better image,An attempt by Scientology to infiltrate the US government,An attempt by Scientology to gain new members by holding events in several large cities in the USA and Canada,Anattempt by the IRS to get back taxes from the main Scientology group
The title of what book in the Bible means departure?,Exodus,Lamentations,Exodus,Genesis,Deuteronomy
What is the meaning of the book title Genesis?,beginning,God,man,beginning,creation
What book in the Bible was named after the successor of Moses?,Joshua,Isaiah,Ezekiel,Joshua,Jeremiah
Where can you find the story of Adam and Eve?,Book of Genesis,Book of Jeremiah,Book of Genesis,Book of Lamentations,Book of Exodus
What was the age of Joshua (Moses successor) when he died?,110 years old,120 years old,105 years old,110 years old,115 years old
Which 10th century Ashkenazi Rabbi outlawed polygamy?,Rabbi Gershom,Rabbi Levi Ben-Meir,Rabbi Judah,Rabbi Gershom,Rabbi Feinstein
"The first international Jewish athletic competition, known as Maccabiah Games, was held in what year?",1932,1896,1964,1932,1956
"What is the name of the collection of stories, legends, and allegorical interpretations of the Hebrew Bible Tanach?",Midrash,Gemara,Midrash,Kislev,Mishnah
"The first day of the Jewish New Year, Rosh Hashanah, can only occur on which of these days?","Monday, Tuesday, Thursday or Saturday","Sunday, Tuesday, Wednesday or Friday","Sunday, Monday, Wednesday or Friday","Monday, Tuesday, Thursday or Saturday","Monday, Thursday or Friday"
"The first female Rabbi, Berlin-born Regina Jonas, was ordained in what year?",1935,1935,1905,1964,1789
Four Jewish jobs require ordination (or Smeecha). Which of these is not one of them?,Cantor,Cantor,Mohel,Shochet,Scribe
"Jewish American Sidney Franklin was greatly admired by Ernest Hemingway, as he was the first American to become successful in what occupation?",Bullfighter,Boxer,Bullfighter,Police officer,Politician
"One of the most important prayers in Jewish liturgy is the the Shemoneh Esreh (The Eighteen) This prayer, which must be said every day at almost every service, is also known by what other name?",The Amidah,Shochain Od,The Amidah,The Shema,The Kol Nidrei
"Mike Epstein, Norm Sherry, Larry Sherry, and Barry Latman were all Jewish baseball players. What do they have in common?",They all went to the same high school.,They all played for the Dodgers.,They all played for the Yankees.,They all went to the same high school.,The were all assassinated for political motives.
"When did the Six Day War between Israel and the Arab states of Egypt, Jordan, and Syria begin?","June 5, 1967","June 5, 1971","June 5, 1967","June 5, 1963","June 5, 1969"
"In 1825, Jewish American diplomat and journalist Mordecai Manuel Noah tried to found what Jewish institution in the United States?",A Jewish homeland in the United States,A Jewish rebellion organization in the United States,A Jewish homeland in the United States,A Jewish government in the United States,A Jewish independent church in the United States
Who was the first Jewish player in the United States National Hockey League?,Sam Rothschild,Sam Rothschild,Mathieu Schneider,Ernie Grunfield,Issac Berger
Which of these terms is used by Jews to refer to the Old Testament?,Tanakh,Torah,Tehillim,Tanakh,Schmuel
"The most important religious document for the Jews, Torah, is written in what language?",Hebrew,Arabic,Syriac,Aramaic,Hebrew
"How many commandments are there in the central document of Judaism, Torah?",613,1075,24,613,215
"According to Judaism, even non-Jews are morally bound to observe how many laws from the Torah?",7,10,7,313,613
"Which of these prayers is traditionally sung before sunset on Yom Kippur, the Jewish Day of Atonement?",Kol Nidre,Slichot,Tanaim,Kol Nidre,Dor v Dor
"Every morning and evening, Jews must recite a prayer, which is also said at  the moment before death. What is the name of this prayer?",The Shema Yisrael,The Hoshannah Rabbah,The Kaddish,The Kiddush,The Shema Yisrael
This is the holiest city in Judaism and the spiritual center of the Jewish people. It also plays an important role in Christianity and Islam.,Jerusalem,Constantinople,Jerusalem,Medina,Mecca
"The Temple Mount, the Church of Holy Sepulchre and the Western Wall are landmarks found in this city.",Jerusalem,Baghdad,Ohrid,Jerusalem,Constantinople
Who built the Temple of Jerusalem also known as the Holy Temple?,King Solomon,Constantine I Emperor,King Ferdinand,Justinian Emperor,King Solomon
When was Jerusalem conquered by the Islamic Caliphate?,In 638,In 1500,In 340,In 1040,In 638
What is Jesus birthplace according to the Bible?,Bethlehem,Bethlehem,Jerusalem,Constantinople,Nazareth
Where is The Milk Grotto Church of Virgin Mary located?,Bethlehem,Bethlehem,Jerusalem,Nazareth,Baghdad
Who was king when Jesus was born?,King Herod,King Solomon,King David,King Herod,None of these
"In the Book of Matthew, what did Jesus say to the man with leprosy when he touched him?",Be Clean!,Be cured!,Be Clean!,Be Healed!,None of these
Whose mother-in-law was lying in bed with a fever in the Book of Matthew?,Peter,Peter,James,John,Mark
"According to the Book of Matthew, how many disciples did Jesus give authority to heal the sick and drive out evil spirits?",12,10,7,12,5
Which of the apostles betrayed Jesus?,Judas Iscariot,Simon the Zealot,Philip,Matthew,Judas Iscariot
Where did Ruth live when she met her first husband according to the Book of Ruth?,Moab,Bethlehem,Moab,Jerusalem,Judah
"In the Book of Ruth, who was Ruths mother-in-law that she would not abandon?",Naomi,Naomi,Mary,Orpah,Rahab
Who was Ruths sister-in-law according to the Book of Ruth?,Orpah,Oprah,Rahab,Orpah,Naomi
"In the Book of Ruth, after the deaths of Naomis husband and her two sons, Naomi wanted to leave Moab. Where did she go?",Bethlehem,Bethlehem,Joppa,Jerusalem,Ninevah
"In the Book of Ruth, what did Ruth do to indicate that she wanted to be redeemed?",Sleep at Boaz feet.,Bow down to Boaz,Wash Boaz feet.,Sing to Boaz,Sleep at Boaz feet.
"According to the Book of Ruth, what did the kinsman-redeemer give to Boaz to indicate that Boaz would be the redeemer of Ruth?",His sandal,A signed piece of paper,500 shekels,His cloak,His sandal
What was the name of Ruth and Boazs son in the Book of Ruth?,Obed,Jesse,David,Salmon,Obed
The Book of Ruth comes after this book.,Judges,Joshua,Esther,Daniel,Judges
How many books are there in the Old Testament of the Bible?,39,39,43,20,35
Finish the title of this book of the Old Testament: The Song of _____,Solomon,Solomon,Job,Ruth,Joel
Which book of the Old Testament of the Bible has the least number of chapters?,Obadiah,Obadiah,Haggai,Zephaniah,Habakkuk
Which book of the Old Testament has the most chapters?,Psalms,Psalms,Genesis,Isaiah,Jeremiah
The first two books in the Old Testament are Genesis and Exodus. What is the name of the third book?,Leviticus,Deuteronomy,Numbers,Joshua,Leviticus
What is the title of the last book of the Old Testament?,Malachi,Job,Malachi,Zechariah,Haggai
Which of these books doesnt belong with the others?,Jude,Ezekiel,Lamentations,Jude,Genesis
Which of these books of the Old Testament is not divided into parts I and II?,Numbers,Kings,Numbers,Samuel,Chronicles
Who was the first US President whose name appeared on the charter of a synagogue?,Franklin Pierce,Millard Fillmore,George Washington,Franklin Pierce,John F. Kennedy
Who was the  first Jew to serve as a  diplomat for the USA?,Mordechai Noah,Harvey Lembeck,Mordechai Noah,Judah Benjamin,Noah Hershey
Who was the first Jew to be offered a position on the US Supreme Court?,Judah Benjamin,Benjamin Cardoza,August Belmont,Louis Brandeis,Judah Benjamin
Who was the  first Jew to serve as US Minister to The Hague?,August Belmont,Judah Benjamin,August Belmont,John Hays,Henry Androwsky
What was the approximate Jewish population of the United States in 1790?,1300-1500,5200-5500,2500-2700,1300-1500,3950-4300
During the Revolutionary War many Jews volunteered to fight the British and there was even a Jew Company. Where were the members of this company  from?,"Charleston, S.C.","Philadelphia, PA.","Boston, MA.","Charleston, S.C.","New York City, NY."
How many years did Golda Meir serve as President of Israel?,0,0,3,4,6
Who was the first President of Israel?,Chaim Weizmann,David ben -Gurion,Chaim Weizmann,Golda Meir,Mosahe Dayan
Who was famous for saying We will fight the War [WWII] as if there were no White Paper and the White paper as if there were no war.?,David Ben-Gurion,Menachem Begin,Moshe Dayan,Golda Meir,David Ben-Gurion
Which successful Israeli General lost an eye and was famous for wearing an eye patch?,Moshe Dayan,Moshe Malone,Moshe ben-Aram,Moshe Sharrett,Moshe Dayan
"What does the term Chabad, as in Chabad Hasidism, mean?","It stands for wisdaom, understanding and knowledge.",Its the name of the place where this form of Hasidism began,Its the name of the first Chabad Rabbi.,"It stands for wisdaom, understanding and knowledge.",It stands for healing the World.
This great American Army officer helped form the Israeli Army. He was responsible for organizing the army along modern lines and for leading the effort  to save Jerusalem in the 1948 war.,Mickey Marcus,Moshe Dayan,Modechai Manual,Eddie Jacobson,Mickey Marcus
What king of Babylon took over Jerusalem in the first chapter of the Book of Daniel?,Nebuchadnezzar,Nebuchadnezzar,Jehoiakim,Darius,Belshazzar
"According to the Book of Daniel, upon his arrival in Babylon, what was Daniels name changed to?",Belteshazzar,Meshach,Belshazzar,Belteshazzar,Shadrach
"What were the Hebrew names of Shadrach, Meshach and Abednego according to the Book of Daniel?","Hananiah, Mishael and Azariah","Hananiah, Michael and Amos","Hananiah, Mark and Amos","Hananiah, Michael and Abraham","Hananiah, Mishael and Azariah"
"In the second chapter of the Book of Daniel, what did King Nebuchadnezzar have a dream about?",A statue,A tree,A goat,A temple,A statue
"In King Nebuchadnezzars dream from the second chapter of the Book of Daniel, what kingdom does the head of gold represent?",Babylonian Empire,Roman Empire,Babylonian Empire,Medo-Persia Empire,Greek Empire
What kingdom do the legs of iron represent in King Nebuchadnezzars dream in the second chapter of the Book of Daniel?,Roman Empire,Roman Empire,Medo-Persian Empire,Greek Empire,Babylonian Empire
"In the Book of Daniel, what would Shadrach, Meshach and Abednego not bow down to?",An image of gold,An image of gold,An image of silver,King Nebuchadnezzar,King Xerxes
"Since they did not bow down, as King Nebuchadnezzar commanded, what happened to Shadrach, Meshach and Abednego in the Book of Daniel?",They were thrown into a fiery furnace.,They were sent to the gallows.,They were thrown into a den of lions.,They were thrown into a fiery furnace.,They were stoned with rocks.
Who was king of Babylon when Darius the Mede took over?,Belshazzar,Nebuchadnezzar,Belshazzar,Belteshazzar,Xerxes
"In the Book of Daniel, what did King Darius decree would happen if anyone prayed to any god or person, except for him for a period of 30 days?",They would be thrown into the lions den.,They would be beheaded.,They would be thrown into the lions den.,They would be stoned.,They would be thrown into a fiery furnace.
What period was marked by the Great Jewish Revolt against the Roman Empire?,66-70,120-110 b.c.e.,250-223 b.c.e.,66-70,211-216
Who led the Jewish revolt against the Roman Empire in the period from 132 to 135?,Bar Kochba and Rabbi Akiva,The Savoraim,Judas Maccabee and his family,Bar Kochba and Rabbi Akiva,Eliezer Ben Ephraim
What does the number 613 refer to in Judaism?,The number of commandments in the Torah,The number of Israelites who went into Egypt to survive while famine plagued the Holy  Land,The number of commandments in the Torah,The number of Israelites who left Egypt with Moses,The days in a Jewish lunar year
What distinction does Moses Alexander hold?,He was the first Jewish governor in the USA.,He was the first Jewish governor in the USA.,He was the first Jew to get an M.D. degree in the USA.,He was the first Jewish candidate for the American Presidency.,He was the first Jewish US Senator.
What distinction does Frank Wolf hold?,He produced the first Yiddish play in then USA.,He was the first  Jewish general in the US Army.,He was the first Jewish recipient of the Pulitzer Prize.,He was the first Jewish member of the House of Representatives.,He produced the first Yiddish play in then USA.
What was the name of the first union for actors in the US?,The Hebrew Actors Union,The Screen Actors Guild,The Yiddish Actors Union,The Jewish Actors Guild,The Hebrew Actors Union
What did Rose and Morris Michtom create in 1902?,The Teddy Bear,The Teddy Bear,The endoscope,The credit card,The vacuum tube
What is Victor David Brenner remembered for?,He made the portrait of Lincoln found on the US penny.,He was the first Jewish mayor in the USA.,He painted the painting Washington Crossing the Delaware.,He was the first Jewish general in the US Army.,He made the portrait of Lincoln found on the US penny.
Which settlement is famous as the location of one of the most spectacular craters in Israel?,Mitzpeh Ramon,Kfar Yaackov,Mitzpeh Ramon,Kiryat Shemona,Acre
Which organization was founded by Rabbi Ben Frankel in 1923?,The Hillel Foundation,The Jewish National Fund,Hebrew Union College,The Hillel Foundation,Hadassah
The circled-U symbol found on the labels of certain products shows that the Union of Orthodox Congregations have found the food is kosher. What was the first food product to have this symbol?,Heinz ketchup,Breakstones sour cream,Heinz ketchup,Manischewitz matzot,Empire chicken
Which Israeli city is a sister city of New York City?,Tel Aviv,Haifa,Netanya,Tel Aviv,Jerusalem
Can an egg laid on a holy day (a Yom Tov) be eaten?,"Rabbi Hillel says no, but Rabbi Shammai says yes.",Definitely no,"Rabbi Hillel says no, but Rabbi Shammai says yes.",Definitely yes,"Rabbi Hillel says yes, but  Rabbi Shammai says no."
This Jewish woman is often considered the First Lady in Television  News.,Dorothy Fuldheim,Hannah Senesh,Barbara Walters,Dorothy Fuldheim,Glickl  von Hamelin
"This man and his partner, Mort Shuman, wrote almost 1,500 songs. His writings include: Viva Las Vegas, Prisoner of Love, Sweets for My Sweets, This Magic Moment, and Suspicion.",Doc Pomus,Alex Bernstein,Davis Fuldheim,Brian Epstein,Doc Pomus
"What is strange about the edible vegetable Salicornia, which Israel exports to Europe?",The vegetable is also used in glass-making.,It can only be eaten cooked.,The plant is 100% edible.,It is completely salt-free.,The vegetable is also used in glass-making.
What city is called The capital of the Negev (desert)?,Beer Sheva,Beer Sheva,Netanya,Haifa,Jaffa
Who is Gal Friedman?,He was the first Israeli to win an Olympic gold  medal.,He was the first Israeli UN Ambassador.,She was Israels first  Ambassador to the USA.,He was the first Israeli to win an Olympic gold  medal.,She was the first Israeli to win a Nobel Prize.
"This Israeli city, which features many beautiful beaches and beautiful seashore views, is also the site of the first IKEA in Israel.",Netanya,Jaffa,Netanya,Hadera,Kiryat Shemona
You can go snow skiing in the area of which Israeli mountain?,Mt. Hermon,Mt. Nebo,Mt. Hermon,Mt. Carmel,Mt. Sinai
The Knesset is the Israeli parliament. In the Knesset building there is a tapestry by this famous artist.,Chagal,Ginsberg,Willensky,Picasso,Chagal
"This great proponent for peace and understanding, who was Mayor of Jerusalem for 28 years, died in January , 2007.",Teddy  Kollek,Moshe Tellek,Teddy  Kollek,Ariel Sharon,Illiyon Golan
Which of these holidays does not have a fast associated with it?,Sukkot,Sukkot,Tisha BAv,Purim,Passover
Who was Ilon Ramon?,The first Israeli astronaut,The first Israeli astronaut,The first Israeli to win the Nobel Prize in Literature,The first Israeli tomplay in the NBA.,The first Israeli Ambassador to Egypt since Moses
"What did these six people have in common: Roderigo De Trianna, Luis De Torres, Maestre Bernal, Alfonso De La Calle, Marco the Surgeon, and Roderigo Sanchez De Segovia?",They all sailed with Columbus.,They were the first Jews to be killed by the Spanish Inquisition.,"They were the only Jews, or Muslims, who were allowed to remain in Spain after the Expulsion Notice of 1492 in order to attend to the health of King Ferdinand First.",They all sailed with Columbus.,They were Marranos who feigned to disavow Judaism so they could remain in Spain after the Expulsion Notice of 1492.
Jewish women often wear a piece of jewelry with the shape of human hand and sometimes writings on it. What is it called?,Hamsa,TziTzit,Hamsa,Aron,Mezzuzah
"In Jewish traditions, what is the ceremony for the naming of a female baby on the evening of her fifth day?",The Eve of the Sixth,Sarahs Ceremony,The Confirmation,Pinyin Ha-ben,The Eve of the Sixth
"During Jewish wedding ceremonies, the bride and groom stay under a canopy. What is this canopy called?",Chupah,Chutzpah,Chanukia,Tallit katan,Chupah
"The word Channukah, which refers to a Jewish tradition, means what in Hebrew?",Dedication,Dedication,Celebration,Winter,Pilgrimage
What meals are typically eaten during the celebrations of the Channukah holiday?,Potato pancakes and jelly doughnuts,Potato pancakes and flat bread,Potato pancakes and jelly doughnuts,Boiled chicken and dumplings,Jelly doughnuts and flat bread
"What is the traditional food for Shavuot, a major festival in Judaism?",Dairy products,Boiled chicken,Fish,Potato dishes,Dairy products
Which line contains the correct names of the three Pilgrimage Festivals in Judaism?,"Sukkot, Passover, and Shavuot","Passover, Channukah, and Shavuot","Rosh Hashannah, Yom Kippur, and Channukah","Rosh Hashannah, Yom Kippur, and Sukkot","Sukkot, Passover, and Shavuot"
Which line represents the correct beginning of the Shema prayer?,"Hear, O Israel! The Lord is our God! The Lord is One!","Hear, O Israel! Bless the Lord who gave us the Torah!","Hear, O Israel! The Lord is our God! The Lord is One!",Blessed be the name of the glory of His kingdom!,Blessed be the name of the Lord who made our bread!
Which of these people do Jews consider to be their historical religious Patriarchs?,"Abraham, Issac, and Jacob","Abraham, Moses, and David","Abraham, Issac, and Jacob","Abraham, Moses, and Solomon","Moses, David, and Solomon"
Who is considered the father of the Jewish political movement and ideology of Zionism?,Theodor Herzl,Theodor Herzl,Alfred Dreyfus,I .L. Peretz,Sholom Aleichem
Jewish children are considered  grown up enough to be responsible for their actions at what age?,"Boys at 13, girls at 12",All children above 13,"Boys at 13, girls at 12","Boys at 14, girls at 13","Boys at 13, girls at 14"
What is the meaning of the Hebrew toast lChaim!?,To life!,To life!,To our country!,To health!,To success!
"According to the Bible, God commanded this prophet to anoint David as king.",Samuel,Abiathar,Samuel,Ahimelech,Saul
"According to the Bible, David played this instrument to Israels first king, Saul.",Harp,Bongos,Harp,Flute,Guitar
Who was Davids father according to the Bible?,Jesse,Jesse,Samuel,Solomon,Eliab
"In the Bible, David fought the giant Goliath of Gath with a staff in his hand, a sling, and a shepherds bag which contained this number of stones.",5,6,4,5,3
"According to the Bible, David was very close friends with this son of King Saul.",Jonathan,Shammah,Jonathan,Joshua,Abner
"The Biblical king Saul became jealous of David because he was victorious in battle and was loved by all Israel. One day when David was playing the harp for him, Saul did which of the following in an attempt to kill him?",Hurled a spear,Hurled a spear,Threw a heavy rock,Tried to choke him,Tried to poison him
"According to the Bible, David married this daughter of Saul.",Michal,Michal,Merab,Serah,Ruth
What Jewish tribe did David belong to?,Judah,Judah,Naphtali,Benjamin,Simon
How many years did David reign as king of Israel?,40,25,45,35,40
How long has Tel Aviv been the capital of Israel?,None of these,Since 1967,Since 1948,None of these,Since 1984
Who named Tel Aviv?,Nahum Sokolow,David Ben Gurion,Nahum Sokolow,Chaim Nachman Bialik,Joshua
What was the approximate population of Tel Aviv according to the Israel Central Bureau of Statistics as of June 2006?,"380,600","570,600","475,500","1,125,000","380,600"
What is the Arabic name for Tel Aviv?,Tal al-rabey,Tal al-rabey,Yaffa,Jebu al-Etzion,Gush Dan
What type of stone was used to build the Western or Wailing Wall in Jerusalem?,Limestone,Safedstone,Gnesis,Limestone,Granite
Who was the first mayor of Tel Aviv?,Meir Dizengoff,Israel Rokach,David Bloch,Meir Dizengoff,Chaim Levanon
What is the name of the Israeli National Theater?,Habima,Notzar,Tzavata,Habima,Beit Lessin
In what language do Ethiopian Jews read Torah?,Gez,Gez,Arabic,Amharic,Hausau
What is Israels number one agricultural export?,flowers,bananas,flowers,seedless watermelon,oranges
What term is used to describe a persons return to live in Israel?,aliyah,midinayah,aliyah,shiddoch,gaboniah
What is the name of the organization that promotes a return to Israel?,The Jewish Agency,The Gush Etzion,The Vaad Harabbonim,The Karaite,The Jewish Agency
What kind of museum is the Batey Haosef Museum in Tel Aviv?,military,jewelry,performance art,modern art,military
Which part of Israel is famous fro producing wine?,Golan Heights,The Negev,Lod,Golan Heights,Eilat
Who is given credit  for reviving the Hebrew language?,Eliezer Ben Yehuda,Eliezer Ben Yehuda,Hannah Senesh,Joseph Trumpeldor,David Ben Gurion
What poem written by Chaim Nachman Bialik inspired many people to immigrate to Israel?,The City of the Killings,The New Colossus,Rabbi BenEzra,Babi Yar,The City of the Killings
"Arthur Loomis Harmon, who helped design the Empire State Building, designed what building in Jerusalem?",The YMCA,The King David Hotel,The Kinnesset,The YMCA,The Water Clock Tower Hotel
Where in Israel was the Mishna written?,The Galilee,The Galilee,Qumran,Jerusalem,The Negev
Who wrote Psalm 23?,David,Moses,David,Solomon,Ethan
How many books is the Book of Psalms divided into?,Five,Four,Five,Two,Three
What are Psalms 120 to 134 referred to as?,Psalms of Ascent,Psalms of David,Psalms of God,Psalms of Ascent,Hymns
Who was the earliest author of a psalm?,Moses,David,Moses,Ezra,Asaph
"In Psalm 23, the Lord is referred to as what?",My Shepherd,My Provider,My Shepherd,My God,My Hope
The following lines are from which psalm? ,Psalm 139,Psalm 23,Psalm 139,Psalm 150,Psalm 119
The Book of Psalms is classified as what type of book in the Bible?,Poetic,Poetic,Historical,Apocalyptic,Prophetic
"During her testimony at her trial, Joan of Arc stated she preferred which of the following to the sword?",Banner,Knitting,Praying,Banner,Bible
Where was Joan of Arc captured by Burgundian forces?,Compiegne,Reims,Orleans,Compiegne,Paris
What was Joan of Arc accused of at her trial?,Heresy,Murder,Perjury,Heresy,High treason
To what kind of capital punishment was Joan of Arc condemned?,Burning at the stake,Hanging,Drowning,Burning at the stake,Beheading
What extremely brave attempt to escape did Joan of Arc make while she was imprisoned in Rouen?,She jumped from the tower where she was held prisoner.,All of these,She jumped from the tower where she was held prisoner.,She knocked a guard unconscious and tried to put on his armor and escape.,She pretended she was very sick and then tried to run away.
Joan of Arc lived during the first half of what century?,15th century,15th century,11th century,17th century,13th century
What is the name of the famous sci-fi author that created Scientology?,L. Ron Hubbard,Isaac Asimov,L. Ron Hubbard,Robert A. Heinlein,Arthur C. Clarke
"What is the name of the book, that states points of the scientologic doctrine for the first time?",Dianetics: The Modern Science of Mental Health,The Study of Scientology,The Scientology Bible,Final Blackout,Dianetics: The Modern Science of Mental Health
"What is the name of the evil alien dictator who, according to Scientologists, placed millions of people on earth and killed them, using hydrogen bombs?",Xenu,Space Hitler,Domo,Xenu,Terl
Which of these celebrities is not a scientologist?,Jack Nicholson,Jack Nicholson,John Travolta,Juliette Lewis,Tom Cruise
What is the term that scientologists use to describe traumatic recordings that cause mental and psychosomatic physical problems?,engrams,engrams,scientogs,hate particles,dianetics
What do the eight corners of the Scientology cross symbolize?,the eight dynamics of life,the eight dynamics of life,the eight planets orbiting the Sun,the eight messiahs of Scientology,the arms of the evil intergalactic emperor
Which of these countries does not recognize Scientology as an official religion?,Germany,Zimbabwe,Tanzania,Germany,Spain
What is the literal meaning of the word scientology?,The Study of Knowledge,The Study of the Self,The Study of Hubbard,The Study of the Universe,The Study of Knowledge
"In the 1970s, members of The Church of Scientology committed infiltration of United States federal agencies in order to eliminate unfavorable reports on Scientology. What was the code name for the operation?",Operation Snow White,Operation Snow White,Operation Massacre,Operation  Scientology,Operation Dumbo Drop
What is the term scientologists use to describe an immortal spiritual being?,a thetan,a thetan,a hubbard,a cleared one,a ghost
What is Rosh Chodesh?,Celebration of the new month,Celebration of the new month,The first book of the Talmud,A fast day  that occurs a day after Rosh Hashanah,The first book of the Torah
What is Yom Sheni shel Galuyot?,The extra day of observance of  some holidays in the Diaspora,The extra day of observance of  some holidays in the Diaspora,The special prayer shawl worn by men every day,The last day of Passover,The second Torah read in synagogues on Saturday
What is Yichuss?,Special honor you get from family members,Special honor you get from family members,The special prayer shawl worn by women,A fast day celebrated on the day before Passover,The first book of the Kabbalah
What does Yom Yerusalyim celebrate?,The unification of the City of Jerusalem after the Six Days War,The building of the Second Temple in Jerusalem,The peace treaty between Egypt and Israel at Camp David,The building of the First Temple by Solomon,The unification of the City of Jerusalem after the Six Days War
What do we call the  first written book of the Kabbalah?,Zohar,Zohar,Beraishees,Devarim,Shimote
What are the two major pronunciations of Hebrew?,Ashkenazi and Sephardeet,Giladi and Sawpharteet,Zechut and Akivat,Germaneet and Yemanee,Ashkenazi and Sephardeet
"What are Dam, Tzefardea, Kinim?",The first three plagues G-D put upon the Egyptians,The names of the three major holidays Jews celebrate in September and October,The first three plagues G-D put upon the Egyptians,The three books of the Torah,The national anthem of Israel
"What do we call the language spoken by Jews in Spain and Portugal, which consisted of mainly Spanish and Hebrew  words written in Hebrew letters?",Ladino,Yiddish,Esperanto,Ladino,Esperanza
The Hebrew term for the Old Testament is Tanach. How many books are in the Tanach?,24,26,65,39,24
What does Aygel Hah Zahav refer to?,The golden calf built by Aaron.,The Book of Psalms.,Special prayers said at bedtime and and sunrise.,The red heifer,The golden calf built by Aaron.
Which Hebrew term means genius?,gaon,Chassid,mitganaiyim,Chabad,gaon
Who is considered the first Chassidic Rabbi?,the Baal Shem Tov,the Baal Shem Tov,Rabbi Akiba,Rabbi Hillel,Rabbi Shammai
Which of the following is not one of the four main forms of Tibetan Buddhism?,Chan,Gelug,Chan,Nying,Sakya
"What is the title of the leader of the Kagyu, one of the four major schools of Tibetan Buddhism?",Karmapa,Chogyum Trungpa,Karmapa,Pachen Lama,Dalai Lama
What is the name of the Tibetan King who is said to have brought and solidified Buddhism in Tibet?,Songtsen Gampo,Marpa,Songtsen Gampo,Tilopa,Genghis Khan
"Which word refers to a Tibetan Buddhist lama or other religious figure, who has consciously decided to be reborn, in order to continue his/her religious pursuits?",Tulku,Terma,Tulku,Lama,Terton
Who was the founder of the first Tibetan Buddhist Dharma center in the West?,Chogyam Trungpa,Chogyam Trungpa,Dalai Lama,Thich Nhat Hanh,Pema Chodren
Who is the second highest lama in the Gelugpa lineage of Tibetan Buddhism?,Panchen Lama,Panchen Lama,Khenpo Gangshar Rinpoche,Dalai Lama,Karmapa
What year did the XIVth Dalai Lama escape Tibet?,1959,1989,1959,1960,1949
"Padmasambhava, a widely revered Indian Buddhist master who founded the Tantric school of Buddhism in the 8th century, is known by what other name?",Guru Rinpoche,Shakyapa Rinpoche,Lama Zopa Rinpoche,Totally Awesome Indian Dude,Guru Rinpoche
The Dalai Lama and the Karmapa are believed to be emanations of what deity?,Chenrenzig,Palden Lhamo,Tara,Chenrenzig,Dorje Shug-dun
The Holy Grail is sometimes associated with which magical object in Celtic mythology?,The cauldron of Bran,The spear of Lug,The boat of Lyr,The cauldron of Bran,The stone of FÃ¡l
"Who wrote Joseph dArimathie, the first literary work to link the Holy Grail with the Last Supper of Jesus and Joseph of Arimathea?",Robert de Boron,Geoffrey of Monmouth,ChrÃ©tien de Troyes,Thomas Malory,Robert de Boron
"In Arthurian legend Percival first saw the Holy Grail in the castle of the Fisher King, who was badly wounded in this part of the body.",in the groin,in the shoulder,in the groin,in the neck,in the arm
"Percival was the first knight in Arthurian legend to see the Holy Grail in the castle of the Fisher King. He could not heal the Kingâs wound, though. Why?",He did not ask the right question.,He did not ask the right question.,He was not well-intentioned.,He was not the chosen one.,He was cursed by The Green Knight.
"Three Knights of the Round Table get to see the Holy Grail. First Percival, then Bors and next who of the following?",Galahad,Mordred,Gawain,Lancelot,Galahad
In the mystery novel The Da Vinci Code by Dan Brown the secrets of the Holy Grail are kept by this secret society.,The priory of Sion,The order of the Phoenix,The priory of Sion,The Illuminati,The order of the Dragon
"In the 1991 movie The Fisher King, Robin Williamsâ character is obsessed with the legend of the Fisher King and tries to get the Holy Grail. He believes that this object is actually the Grail.",Ð° sport trophy,Ð° silver cauldron,Ð° crystal champagne glass,Ð° sport trophy,Ð° crystal plate
The Holy Grail was a popular theme in many literary works from the 19th century such as the Arthurian cycle The Idylls of the King. Who was its author?,"Alfred, Lord Tennyson",Dante Gabriel Rossetti,Jane Austin,Walter Scott,"Alfred, Lord Tennyson"
The search for The Holy Grail is one of the central themes in the opera Persifal by this German composer.,Richard Wagner,Richard Wagner,Karl Maria von Webber,Robert Schumann,Franz Fischer
"At Christmas, Christians celebrates the Nativity or birth of Jesus Christ in which city?",Bethlehem,None of these,Bethlehem,Nazareth,Jerusalem
"Which Christian saint, regarded as the first martyr of Christianity, is commemorated on December 27 or 26?",Saint Stephen,Saint Matthew,Saint Andrew,Saint Paul,Saint Stephen
